"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
南投市,龍泉里,295,214959,6820,9356,145744,19367,4333,526,243,26731,0,1110,0,729,117476,186692,91
,康壽里,482,421644,8457,15842,285436,35887,4376,919,301,66318,966,1570,0,1571,232418,368626,434
,三民里,268,228415,1764,7410,184418,13875,2137,265,268,15385,530,1772,0,592,152786,196784,147
,仁和里,179,217691,2134,5126,93011,12250,3712,73,85,14534,7587,77923,0,1256,75307,199988,63
,南投里,219,154654,4291,9255,99223,13206,9935,65,149,16642,0,1472,0,415,79263,134693,213
,彰仁里,136,90553,5815,2410,41161,15091,6127,262,41,18420,0,393,0,833,31400,80791,83
,崇文里,304,239450,12754,14377,157372,20726,9417,391,194,21413,0,1181,0,1625,128156,210234,41
,漳興里,846,649516,8710,8459,513095,43072,9036,907,347,60368,215,3873,0,1435,412147,549197,83
,漳和里,2358,1869973,38816,24863,1475294,89031,16879,1323,1345,197134,1506,17835,0,5947,1179099,1574025,650
,軍功里,1390,985038,33728,10686,812661,39747,6956,839,1044,68900,587,8371,299,1220,641229,814401,926
,東山里,103,62738,998,556,54504,2411,900,181,45,2306,0,837,0,0,41572,49806,12
,平和里,1961,1493318,23706,22888,1186930,109446,15275,1407,865,108804,147,12827,218,10804,959619,1266890,1265
,振興里,580,370137,11822,5351,302345,19372,2768,346,323,23252,0,2775,0,1781,234510,302083,129
,千秋里,282,187022,5968,2850,155800,10421,1668,201,204,7725,0,1465,0,719,119960,151182,21
,三興里,1752,1409114,42027,22435,1153884,76804,12153,819,1503,82082,595,8642,126,8042,935936,1191052,1167
,三和里,1048,879529,21401,35535,624278,89106,16015,937,802,79680,1124,5781,52,4819,513987,769239,1268
,嘉興里,571,368499,6596,4241,306055,13816,2263,149,227,29488,1830,3700,0,134,237795,300567,102
,嘉和里,1418,1070925,23871,10334,879802,50527,6683,1475,659,88486,301,6739,0,2047,702505,894047,413
,鳳鳴里,142,90966,2469,1695,71531,4084,1482,0,102,8869,0,352,0,382,54255,73690,33
,鳳山里,279,194377,5513,2258,134868,4758,989,53,606,39090,0,610,0,5632,100933,160741,368
,平山里,1661,1196092,30603,9928,966533,51359,9378,1440,2354,106882,365,15258,0,1991,753706,983367,430
,新興里,1600,1044348,28267,18509,860245,36781,8733,943,948,81153,250,5975,0,2544,654324,838746,395
,永豐里,871,818626,15362,5769,455070,22105,3288,1024,758,309938,200,3737,0,1375,345479,710187,36
,福興里,843,622972,14339,6128,447408,22801,3017,1813,616,121814,89,3207,0,1740,345009,520573,82
,營北里,2265,2363286,36568,37442,1786532,207110,36794,5800,1971,227583,3234,14469,88,5696,1513895,2090679,2985
,營南里,767,629088,8762,8165,511669,31535,5544,1146,530,58224,95,2805,0,611,414899,532317,111
,內新里,412,316479,9258,3981,261915,12410,2126,212,174,24289,0,1680,0,435,209159,263723,54
,內興里,2155,2026953,33094,32283,1615038,132410,11476,3898,1332,173959,519,13706,70,9167,1340702,1752617,2119
,光華里,327,259752,2127,748,152447,56284,2542,89,28,44510,5,793,0,179,126049,233354,17
,光榮里,396,287061,2273,3699,169652,73648,2967,522,107,31100,354,2239,0,502,139490,256900,186
,光明里,406,317662,1928,4420,211512,68009,3838,288,125,24474,0,2343,0,726,176227,282378,347
,光輝里,169,142637,2231,1102,107152,12166,4581,203,105,14425,86,396,0,190,87896,123668,4
,福山里,497,294284,10252,3545,242004,9170,2806,204,547,21364,0,3955,0,437,182943,235223,101
,永興里,156,101983,3030,1953,83244,3145,935,124,136,8811,0,414,0,190,64916,83944,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,27138,21619740,465755,353599,16547834,1421930,231131,28842,19086,2224151,20586,230203,854,75769,13305048,18382406,14376
埔里鎮,東門里,681,467625,23711,19251,327095,34120,18038,3586,306,37464,12,2642,74,1327,261870,402400,690
,西門里,765,535967,16955,19176,388663,41941,19765,1088,341,36846,440,6017,1172,3563,311053,458307,2024
,南門里,243,177759,9454,13029,97297,17366,17095,502,141,21549,0,1302,0,23,78645,159106,70
"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,北門里,600,410701,10569,6452,328679,30481,8073,916,257,18179,0,4389,0,2707,265146,347168,209
,薰化里,299,209673,10295,9397,140447,15034,8869,1440,158,18044,1031,3941,0,1017,112893,182119,175
,清新里,788,532269,18052,14504,436773,22808,7053,1893,382,23269,45,5841,0,1650,348637,444133,88
,同聲里,500,330083,7981,3961,264094,16641,5597,457,332,25828,16,2144,0,3031,213441,279429,299
,大城里,1419,1014146,23326,13036,820013,51393,17571,1822,1074,73928,17,9051,42,2872,658653,852786,970
,籃城里,177,126341,5107,2265,106296,3943,1128,6,33,3443,0,3164,0,958,87130,107176,21
