"表166-I(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
東　區,中庄里,977,844839,18833,11929,687102,49029,5771,968,466,60200,1754,7973,421,393,569617,727354,2096
,頂庄里,731,660010,14060,7489,544121,39858,6120,739,752,39185,1077,6399,26,183,452199,568088,1047
,王田里,884,858473,15956,23478,605984,94247,15700,2179,747,94307,769,4352,67,686,511113,763579,1130
,圳頭里,1217,1114328,22629,18305,856602,80762,6981,2298,1210,114932,1784,8281,206,338,709995,967602,1648
,鹿寮里,233,198206,3089,7859,152227,15049,1968,718,36,12459,98,4044,0,659,124620,170599,241
,盧厝里,480,533512,13459,33949,393593,22472,11053,2170,284,53413,14,2971,13,123,333845,473751,639
,短竹里,721,664119,15123,14518,510591,57908,4176,1940,369,54039,1620,2806,0,1027,432779,586307,806
,長竹里,965,1094679,18458,56480,790205,76335,33467,2200,536,104188,167,12061,38,545,678787,983616,1339
,後庄里,1222,1014652,14840,10785,822021,67587,7556,748,715,79450,1273,9063,395,221,674341,866851,1914
,東川里,627,677950,7097,31193,447062,69735,17697,1554,499,92502,2705,5312,30,2564,380643,611531,996
,太平里,1449,1513900,22471,32728,1185359,122997,11780,5200,1015,107573,7037,15524,61,2157,1011741,1340281,1619
,興南里,433,330721,6422,15105,242194,36211,3403,535,157,21456,0,2829,0,2410,197450,285977,272
,豐年里,419,436787,8040,10164,312435,41792,4522,471,240,54400,114,4141,0,469,266340,391020,297
,新開里,637,526724,10967,17527,382039,51982,14150,2442,941,38897,94,6885,2,799,314302,459018,401
,宣信里,391,278630,4000,2746,200173,27024,6249,332,226,34046,171,3647,0,15,161415,239873,531
,芳草里,910,710969,9106,6669,594572,45563,2584,2807,585,41153,72,6618,33,1207,486639,603382,609
,安寮里,856,737841,13583,23127,523654,69192,10883,1985,498,86272,424,6767,0,1457,433562,647748,616
,興村里,1113,871796,15194,10340,730358,35930,9555,1293,636,53402,773,10346,368,3600,597140,738948,1464
,頂寮里,764,596208,12831,5093,488110,40750,2858,1753,1064,37078,301,5422,457,492,398113,506211,995
,荖藤里,1203,980031,27225,24340,799374,26780,7783,1710,1148,83536,106,7713,198,120,642594,823146,903
,後湖里,1055,773127,36934,4877,599998,35023,13146,3675,1050,72046,0,5745,40,593,472299,645428,562
,過溝里,718,598659,14895,19432,401845,55006,27980,324,406,69507,749,6318,1128,1070,334431,531120,2445
,民族里,411,311176,6770,12094,186407,30238,10233,794,331,61122,19,2753,0,416,149952,274722,334
,朝陽里,576,409249,11202,9920,288311,44194,10767,778,257,37537,417,4998,0,868,231929,352867,412
,華南里,589,443320,11237,16469,300847,48553,8845,311,221,51477,0,4128,164,1068,246100,388572,707
,東興里,607,607511,18085,42533,344588,54113,18202,1172,663,123094,0,4108,0,954,289841,552764,352
,中山里,678,675400,13678,26207,450612,81504,18488,799,553,75740,31,5759,475,1554,381764,606410,1387
,中央里,736,643004,16908,57229,315809,65355,29429,1724,361,149497,72,3784,49,2788,256187,583382,656
,林森里,808,821761,10943,30811,623933,62084,13486,977,724,71667,139,5008,4,1984,525414,723242,1195
,北門里,685,610251,14157,24727,396100,51090,17827,1896,751,97162,78,5864,0,598,326783,540933,384
,蘭潭里,632,573685,14402,23517,445227,37317,5912,652,418,40465,0,5117,232,427,374657,503266,962
,文雅里,1198,1548215,23676,73590,1140106,87865,26684,5319,1212,171944,2350,13882,86,1501,991291,1399401,2264
,安業里,529,417730,5639,13581,335412,30224,3918,241,274,22514,0,5291,0,635,273390,355708,184
,義教里,827,661599,10768,10948,548204,38071,5967,882,491,40794,63,5034,0,378,450316,563711,341
,興安里,658,505911,6617,6038,411728,34077,3455,614,1025,38559,212,2562,46,977,334799,428982,504
,興仁里,1007,786110,21457,15108,635517,45556,8171,1689,848,50591,54,5847,0,1272,515675,666268,497
,新店里,1405,1346696,22983,38345,1069594,83254,15269,1925,888,101725,233,10411,723,1346,901028,1178400,2978
,仁義里,894,787308,14887,24537,618538,43490,17531,1232,841,58410,32,6369,606,836,508875,677799,1889
,芳安里,625,537144,9029,9986,432370,44926,2999,575,459,31654,338,4463,0,346,360633,466128,394
"表166-I(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,30870,27702229,557649,823773,20812926,2043139,442563,59618,23896,2627991,25139,240593,5867,39075,17302602,24193982,38009
西　區,永和里,469,366685,9305,10630,267648,23447,6702,585,467,33602,8478,5325,250,247,219215,318252,946
,新富里,499,374314,8281,12962,266779,28118,12566,3058,307,38377,0,3222,14,630,217822,325357,381
,文化里,759,667661,19369,16623,413998,60308,55246,1228,519,95857,172,3995,0,347,343320,596999,422
,西榮里,683,535613,20194,25035,335940,45863,29955,964,435,72380,0,4239,117,491,271605,471581,729
,國華里,506,459879,15557,36467,269198,37500,26433,1045,416,60544,2418,4777,0,5525,219408,410090,124
,番社里,484,426125,12612,37686,248086,36556,33706,1294,380,50830,877,3864,0,235,204412,382451,442
,導明里,434,334689,3947,6311,259636,24577,3690,909,227,31903,1041,2041,123,283,213361,288311,906
,慶安里,375,253672,6507,12333,207709,9507,2885,295,178,10592,1361,2252,0,52,164264,210227,86
,後驛里,481,344069,14558,10744,260903,15132,11550,1947,489,24881,10,3644,26,185,208721,291887,264
,福安里,1239,1085402,46063,27989,821581,48801,15576,2455,947,110815,1249,9398,120,409,673123,936935,920
,獅子里,776,588348,12775,10120,491656,28118,3784,1417,536,32432,40,6609,228,633,397631,495364,849
,紅瓦里,405,317262,10400,9451,254324,13549,3900,350,236,22293,0,2707,0,55,204673,267611,18
,保福里,988,825278,26024,27858,631427,38323,13241,1628,706,77820,967,6235,204,845,516641,710491,699
,保生里,1178,946713,31832,19501,715606,45733,12582,1306,641,108980,132,9211,0,1189,579870,810977,346
,北新里,271,202431,14434,2734,157335,6021,4190,254,325,15642,0,1337,0,159,124168,169263,25
,育英里,582,502010,11554,8417,358178,55555,7167,672,325,55011,206,4552,0,373,300646,444478,479
,湖內里,1153,884377,25891,18385,692237,40542,14717,1559,1062,78367,3,6798,126,4690,553563,745704,739
,美源里,1120,949216,15969,33898,686802,79501,20933,3361,604,97006,246,10336,3,555,565723,828140,963
,致遠里,474,364378,10822,13905,272871,36603,3317,949,321,22126,354,3077,11,22,222497,314005,393
,翠岱里,372,301538,2421,15606,224613,28919,3735,939,249,20937,442,3225,199,253,184692,261617,935
,自強里,441,379089,10846,22801,265727,26338,11448,1854,210,32566,145,3236,0,3918,218285,331647,429
,培元里,417,325803,12717,10154,232406,30103,7627,1274,206,25449,0,4283,1061,523,188372,281750,2218
,車店里,1732,1479958,46401,20956,1105127,70552,26189,3666,1177,188902,1652,12767,203,2364,903117,1277947,1092
,光路里,1452,1208278,27327,21809,964284,78013,11661,3755,1050,87452,1934,9447,0,1545,797400,1041394,743
,香湖里,198,145601,3291,2985,120535,4953,2702,87,66,9780,0,1186,14,3,96682,121749,206
,湖邊里,582,450537,15517,11063,312891,33364,6235,887,439,64074,90,5118,0,859,247601,385246,94
,重興里,487,338318,8319,6593,268317,14718,5634,249,583,29819,123,3551,0,412,212918,283215,252
,北榮里,607,491131,11785,18235,385977,26825,2692,498,329,38708,391,5205,261,225,315003,420071,1244
