"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
朴子市,安福里,503,390729,5886,11888,311725,31934,2809,254,493,22956,174,2046,0,564,253679,332683,172
,平和里,662,578117,10717,41616,393406,59890,8084,306,534,57562,966,4005,0,1032,321486,506221,290
,內厝里,253,188912,4462,3246,153763,12714,875,112,170,11883,0,1631,0,56,125135,160284,6
,開元里,124,88187,1128,2431,62988,9771,2303,0,97,7675,939,756,64,34,51296,76494,279
,順天里,158,122506,3356,3717,90942,13101,1348,331,140,7439,237,1781,0,116,74547,106112,101
,中正里,195,142093,6782,4269,95004,7940,4415,117,77,17120,233,3279,0,2857,77626,124716,18
,博厚里,183,147332,4112,2044,113753,12330,460,150,53,13470,0,892,0,66,92958,126536,16
,文化里,517,407371,4990,11110,293908,40870,12061,877,278,38660,13,3236,0,1369,240497,353960,183
,永和里,594,400082,8216,7999,329144,25033,3231,307,199,21553,0,2687,0,1713,262381,333319,86
,竹圍里,1263,1026691,25647,28847,788394,69647,12577,589,1591,87995,275,10075,0,1054,647433,885731,318
,新寮里,135,79241,2254,978,64453,2258,365,0,195,7844,0,759,0,134,49763,64551,13
,双溪里,114,77605,4240,2137,52762,4359,896,2,8,12721,0,333,0,148,41480,66322,53
,溪口里,146,94031,6012,703,75439,3169,1393,109,111,4919,0,430,0,1746,58765,77357,8
,德興里,231,161163,2713,272,140700,5298,591,27,51,9939,0,1391,0,180,111221,131684,65
,仁和里,643,939093,4739,12367,744788,22101,10178,2748,123,135903,0,5168,303,674,660115,854413,1589
,大鄉里,785,591513,21259,14107,485914,26446,5679,404,421,31967,274,4957,0,86,390740,496340,454
,大葛里,727,689964,11169,9287,579219,23517,7761,3658,403,48959,34,5057,42,857,483981,594684,535
,佳禾里,134,78517,1425,73,68988,1693,723,93,80,5166,0,276,0,0,53031,62560,19
,竹村里,230,148575,7944,418,111052,7150,966,292,46,17783,116,2648,0,161,84931,122455,17
,崁前里,149,84561,1843,2550,63770,4243,1603,86,43,8210,0,2059,0,155,48754,69545,3
,崁後里,123,74614,2939,577,59546,2650,676,171,59,7325,132,539,0,0,46001,61070,3
,順安里,42,20276,1079,89,16407,720,449,109,513,847,0,64,0,0,12048,15918,11
,德家里,132,75656,3427,2151,62055,2966,94,244,54,3537,0,861,0,268,47132,60733,4
,新庄里,142,87548,4361,1284,68116,3788,265,0,169,8391,0,1165,0,10,51196,70629,20
,松華里,202,140824,3943,575,96015,11805,3733,106,105,23603,0,920,0,19,75058,119867,6
,梅華里,166,109471,9492,864,80792,8078,1166,269,53,7699,0,1058,0,1,62627,91307,10
,南竹里,87,59841,805,56,49346,2445,226,59,20,6506,0,378,0,0,39841,50335,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8640,7004514,164942,165655,5452388,415914,84926,11418,6085,627631,3393,58451,410,13301,4463721,6015822,4279
布袋鎮,岱江里,102,62001,2404,947,52770,2901,30,34,25,2037,0,851,0,0,41694,50925,2
,九龍里,78,51083,700,1404,44116,2143,705,0,26,1499,0,490,0,0,35949,42916,16
,岑海里,389,277884,6008,847,248152,8032,798,324,258,10698,0,2759,0,8,200558,230291,50
,興中里,243,155303,4922,2680,123568,10170,1871,92,148,10469,40,1112,0,232,98421,130156,45
,光復里,364,269350,2623,3009,222926,15489,1904,878,146,18222,216,3597,0,341,182150,228574,198
,見龍里,189,122794,3003,284,109758,3226,812,51,65,4507,37,1053,0,0,86781,99818,20
,新厝里,179,125530,2792,10,106727,6484,293,0,176,6885,0,2165,0,0,85766,104569,2
,龍江里,173,124297,1373,427,102704,6457,3155,1173,61,8495,0,452,0,0,82130,103723,133
,東港里,454,326143,4544,2572,273498,13347,1570,151,278,27124,0,2905,0,155,219792,272437,164
,永安里,249,160198,4153,2155,131607,6071,561,24,116,14577,0,924,0,9,103908,132499,12
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,江山里,53,40027,802,6,33630,3450,264,0,16,1733,0,125,0,1,27712,34109,22
,考試里,54,39596,1897,722,28018,2011,35,0,9,6770,0,132,0,0,21669,33247,0
,菜舖里,82,53486,744,319,46240,3117,421,0,17,2146,0,478,0,6,36908,44155,3
,振寮里,147,103971,1727,2632,86010,4168,1002,47,94,7638,0,650,0,3,67873,85834,99
,西安里,193,129938,2110,1526,103054,9834,3075,750,99,6138,1856,1445,0,50,81046,107930,144
,東安里,221,142287,3066,3205,114576,5313,3221,243,84,11555,0,982,0,42,89944,117655,1
,中安里,261,180347,2516,4474,145453,10567,949,83,146,14455,0,1497,0,206,117899,152797,34
,樹林里,87,49932,600,130,37962,3141,647,17,18,6382,0,1033,0,2,28791,40760,132
,貴舍里,102,66947,535,139,59780,3973,203,0,90,1705,32,489,0,0,46624,53790,3
,復興里,462,319647,6394,3539,240579,18406,3587,1128,1323,41683,0,2789,0,217,188395,267463,88
,新民里,218,158330,3132,1091,127058,8339,1360,0,347,15954,82,856,0,111,102276,133548,0
,好美里,195,113022,3696,1631,92283,4443,509,0,99,9025,0,1336,0,0,71300,92039,60
,新岑里,219,134296,2432,4143,114931,4706,813,174,149,5378,0,1446,0,124,90641,110006,3
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4714,3206409,62174,37891,2645401,155789,27787,5168,3789,235072,2263,29566,0,1508,2108227,2669238,1230
大林鎮,東林里,156,121393,2715,4271,86033,12181,1466,85,108,13901,0,448,0,185,70671,106032,40
,西林里,557,432861,9337,12816,294134,44573,7774,2018,362,56801,72,4590,0,382,237324,376613,129
,吉林里,265,192745,3404,4508,154895,14912,2004,203,66,11059,80,1233,0,382,125418,163768,110
,平林里,1554,1298884,28040,25566,1064854,62121,12192,1215,1582,88616,2314,10837,612,934,870285,1104609,2428
,明華里,232,176574,9236,3159,132627,7369,1832,187,43,16035,0,6031,0,55,104404,148351,109
