"表166-C(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：基 隆 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
中正區,德義里,297,250860,5813,6916,157790,16184,26505,1630,194,26277,9,7583,0,1959,129503,222573,275
,正義里,407,281038,3866,1083,230209,17556,6618,478,401,14805,0,3621,0,2403,183604,234434,135
,信義里,289,216376,3189,622,176009,13596,3331,120,264,15828,1251,1805,0,360,143023,183390,29
,義重里,322,250139,3880,1406,205799,10590,2760,735,190,21692,15,2459,0,612,166707,211047,148
,港通里,503,477807,11465,25409,314845,34519,23901,859,542,63200,0,1853,0,1214,262323,425468,352
,中船里,381,273618,3683,6910,217219,15091,2530,358,192,23341,0,3042,0,1252,171553,228152,145
,正船里,414,306994,8576,3984,244351,14319,4137,503,325,19438,2137,2787,0,6437,195752,258396,26
,入船里,248,193085,1758,4663,155474,12353,3227,190,144,13328,28,1562,317,40,127037,164546,907
,中砂里,375,272260,4009,9331,224356,15175,2497,459,278,12124,0,3674,0,358,181108,229013,90
,正砂里,801,694519,6783,19093,570294,31308,11324,1291,759,38489,287,5787,0,9102,471208,595434,571
,真砂里,458,396341,3614,6052,293012,14713,2916,146,330,71691,56,3243,0,568,237839,341168,271
,砂灣里,606,430997,3977,7652,363668,24237,2294,369,311,20599,0,7451,0,439,291251,358580,381
,中濱里,361,236719,1983,3634,193970,11658,2529,320,321,20672,4,1137,0,491,152848,195596,464
,中正里,550,374997,5722,2846,315134,19468,5191,371,422,21598,251,2958,18,1019,253428,313292,287
,正濱里,297,265510,5086,7745,191534,13710,3395,140,411,14857,56,6484,0,22092,156595,230571,283
,社寮里,524,341409,6851,2786,291803,10509,2821,293,186,22972,0,2627,0,561,231814,281420,138
,平寮里,394,245889,5457,2503,208413,8484,962,440,174,16747,1276,1364,0,69,162503,199979,64
,八斗里,423,270508,4458,837,236947,9111,2027,429,227,11604,2498,2299,0,72,185696,219257,56
,長潭里,127,83682,736,374,73456,4316,311,0,53,3422,0,1009,0,4,58192,68419,6
,砂子里,1404,957210,19336,27434,821752,28551,4396,3536,1012,35988,910,12455,1084,757,649755,785223,3904
,海濱里,340,232008,3929,2059,188359,5898,3448,354,157,25404,0,2240,79,81,145750,189399,323
,建國里,594,496929,3266,5371,432765,28902,2904,223,278,17769,562,4230,0,659,357695,421859,1481
,和憲里,239,133440,5199,1105,115817,3108,379,306,61,5950,558,295,0,663,88522,106145,78
,碧砂里,345,217138,4015,2907,187543,7534,2121,755,138,6635,2043,872,2100,474,145786,175381,3417
,新豐里,1725,1397269,20452,13088,1226042,38509,9477,5744,1589,46222,4584,16681,106,14776,1001624,1172784,1484
,新富里,1447,1017671,15166,10114,903514,28590,8907,4058,1048,33887,1293,9791,0,1304,716238,830397,706
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,13871,10314414,162270,175925,8540074,437991,140906,24104,10008,624539,17820,109308,3704,67766,6867356,8641923,16020
七堵區,八德里,524,347500,5805,3721,300824,10900,6268,480,374,15370,1352,1850,115,440,233497,279647,350
,長興里,1229,896560,16314,10607,772966,37137,5017,908,589,36826,283,13630,734,1549,614295,737876,2129
,正光里,822,658171,7523,8805,532317,34766,22115,3991,768,37874,0,6189,0,3823,435118,561011,696
,永平里,653,486077,7036,7235,398402,31056,7905,1218,522,24266,151,5688,641,1956,323839,410891,1235
,富民里,1256,980619,9614,10607,815626,51130,8871,1637,625,71480,3169,6955,0,905,659272,824264,227
,自強里,298,209757,6883,1775,179319,6408,2002,1193,229,7971,0,2197,0,1778,141817,172255,210
,泰安里,1479,1066614,22409,12897,933611,27251,6998,5136,1106,42428,11,13543,78,1148,739446,872442,1112
,堵南里,647,453695,10692,8054,380438,11106,9587,1651,403,21971,1325,7401,93,974,298000,371278,648
,堵北里,1212,875427,20801,8638,723020,30098,12596,824,1426,69117,0,6699,9,2197,567404,719801,327
,六堵里,769,597963,12888,6744,510297,19434,5093,1350,593,34745,18,6095,0,707,408553,496220,202
,友一里,669,748259,9269,14517,540920,26349,12125,5668,374,128220,367,4282,171,5997,461748,669072,1612
"表166-C(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：基 隆 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,友二里,101,74737,2016,405,46963,2817,3135,230,38,15897,0,1563,0,1673,35983,63758,0
,瑪東里,77,51282,666,109,34160,2198,4054,124,0,9592,0,285,0,94,25203,42326,6
,瑪南里,130,82923,1631,52,70724,1578,639,174,27,7736,0,302,0,61,54602,66801,0
,瑪西里,88,54621,357,600,45743,1865,919,74,32,4782,0,240,0,10,34321,43199,1
,永安里,769,582949,17185,7554,487594,22372,9145,1629,618,28624,315,6999,0,914,391227,486582,515
,百福里,2094,1604634,25874,13903,1352070,48952,29194,7095,1865,105084,62,16503,271,3762,1076752,1329317,1611
,實踐里,1272,857890,12509,13448,746021,25866,8701,1605,1260,38329,963,4984,322,3881,583417,695286,1005
,正明里,735,569457,7376,8506,478332,29973,9347,511,280,30555,0,3175,70,1332,387685,478810,580
,長安里,692,498507,13848,3383,418802,9348,3503,1204,544,44251,105,2496,48,975,326870,406575,567
,其　他,3,920,0,0,912,0,0,0,0,4,0,5,0,0,588,596,0
,合　計,15519,11698562,210695,141560,9769059,430606,167213,36704,11672,775122,8120,111081,2553,34176,7799638,9728006,13033
暖暖區,碇內里,864,688004,9251,7600,600138,24508,7337,2398,588,26504,0,7726,364,1589,489321,577187,1257
,過港里,1142,851269,9220,8552,739337,38317,6946,1193,1385,37196,95,7669,0,1359,596573,708505,592
,暖暖里,869,674210,9581,8196,575905,26018,11480,1898,744,33550,78,5096,274,1389,465138,563443,1095
,暖同里,822,669391,6777,9028,549914,28274,7533,745,1622,59177,832,4529,183,778,444629,564106,890
,暖西里,1521,1341689,24533,23199,1096935,47034,19824,8173,1922,96594,1500,17655,864,3458,898973,1143589,3003
,暖東里,111,67097,2788,332,53575,3556,2392,41,30,4074,14,294,0,0,39156,52678,11
,八西里,439,334796,8892,1903,281249,11385,2061,268,331,23618,1084,3874,0,132,224190,277738,198
,八堵里,188,132827,1429,339,105837,8081,2320,173,83,12798,108,1149,135,376,83831,110696,559
,八南里,215,146956,3249,2216,120378,4630,3308,166,131,11304,0,720,0,854,93086,119665,188
,八中里,125,78999,563,2066,68492,1947,543,110,28,4130,0,983,0,136,53479,64047,22
,碇和里,958,756974,8604,8379,652647,27306,4769,1861,959,43617,1942,5751,304,833,531469,635664,1214
,碇安里,1617,1267864,15816,12502,1110793,41768,6423,2424,1750,56508,647,15107,0,4126,891588,1048660,321
,碇祥里,1769,1421270,17451,24561,1235988,38651,6530,4177,2146,74676,2610,13627,0,852,1001898,1187180,1421
,其　他,8,5067,104,122,4789,1,0,0,0,31,0,20,0,0,3925,4203,0
,合　計,10648,8436412,118258,108996,7195975,301476,81464,23627,11719,483777,8911,84201,2124,15883,5817256,7057359,10772
仁愛區,仁德里,378,325388,8900,5606,152651,21598,75337,1389,429,50926,795,4202,0,3554,121034,293771,284
,和明里,670,736356,16568,27093,532186,36823,32256,2559,498,67197,135,15802,151,5088,456438,660549,509
,水錦里,608,539949,8328,7279,423973,33478,18621,2302,408,40541,108,4086,0,824,349153,465129,147
,玉田里,341,282684,7117,3995,175768,17450,51629,622,175,22236,25,2728,0,940,142651,249568,110
