"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
宜蘭市,南門里,408,302264,8363,6277,230683,17341,8008,1354,416,24546,59,4284,506,428,188211,259791,1136
,建軍里,535,446497,15293,10194,347950,29263,6425,1300,340,32563,18,2883,0,269,282803,381350,320
,民族里,737,603803,11764,13755,454284,59368,12369,787,509,42118,1074,6671,573,529,375376,524828,1920
,思源里,1505,1550567,28352,34388,1217157,104984,17766,4853,1110,123011,1370,14939,154,2483,1022047,1355379,2112
,負郭里,962,791623,10969,18237,644232,45288,7811,2216,1477,53549,215,6741,0,888,524166,671557,620
,神農里,906,678977,13803,23285,507175,65004,17148,3038,658,39803,186,6819,211,1848,405709,578007,858
,民權里,529,431169,8746,17369,312766,39037,9404,879,544,34303,89,7293,0,739,255125,373527,107
,慈安里,492,316284,13140,2212,260434,12955,3866,491,420,18393,0,4092,0,280,202771,258621,58
,新民里,498,359400,13407,18169,235941,29630,16535,916,778,38294,1518,2820,0,1392,188577,312036,82
,東門里,272,220813,4402,10304,159711,15624,9196,527,253,18469,0,1029,0,1299,132877,193978,295
,小東里,429,297301,6373,8375,238279,21177,2644,1316,289,13907,213,4529,0,198,189539,248561,185
,菜園里,380,269164,4735,6494,219574,16866,3287,398,383,13388,0,2589,0,1450,173388,222977,353
,孝廉里,322,230642,7187,1040,181868,12623,4270,516,244,18492,0,4052,54,294,144527,193300,330
,中山里,288,206397,5977,3723,153167,15441,9532,323,268,13840,0,3351,95,680,122759,175989,677
,北門里,310,215192,7806,2619,167939,11918,2471,576,363,19388,0,1503,0,610,132527,179780,102
,西門里,461,324116,9595,10155,263469,15657,2970,1203,516,18511,247,1626,0,168,210309,270956,158
,凱旋里,335,257673,6768,1949,210821,11434,3255,1113,217,19940,0,1707,88,382,168543,215395,327
,南津里,562,501909,15771,11883,391220,31196,5046,3227,551,35705,257,5039,0,2015,321031,431720,256
,建業里,494,540995,20366,17126,423291,24605,9441,3052,553,38630,100,3207,0,623,359909,477613,605
,南橋里,328,293649,8948,2652,231473,18898,2374,1656,207,21903,34,3590,0,1913,191152,253328,260
