"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
屏東市,勝豐里,97,60428,879,1137,46323,5215,1982,12,78,3645,72,1045,0,41,36750,50855,50
,金泉里,159,111816,3454,1728,75176,6934,8558,799,119,11891,893,1751,0,513,61368,98009,71
,慶春里,86,110702,30922,1721,46275,3450,3265,39,23,19447,5223,187,0,151,38114,102541,36
,平和里,219,167454,6165,6602,96906,11612,19091,148,190,25212,0,909,0,619,79511,150059,70
,楠樹里,137,89012,4736,4837,62621,6768,2022,118,272,7004,0,456,0,177,49685,76076,106
,扶風里,173,138655,3305,6907,100957,7718,2570,142,187,9732,25,6860,28,226,81905,119583,267
,橋南里,401,332465,4433,10714,248326,16227,9312,1023,259,38358,168,3049,0,595,203332,287471,197
,橋北里,242,181632,3993,8107,140162,10220,3315,443,242,12714,489,1586,0,363,115161,156632,257
,長春里,612,534790,11749,10709,430739,43550,6994,1211,310,25262,402,3423,0,442,358912,462964,1049
,豐田里,1327,1177879,18598,30320,923950,89182,15350,1503,760,81259,1922,13599,188,1248,767486,1021339,1546
,安樂里,145,129244,4924,18891,71286,9160,7092,62,361,16117,0,676,0,675,59109,117067,204
,歸心里,231,152664,4284,5379,126190,5033,1528,0,153,9049,0,918,0,131,99747,126221,93
,湖西里,343,240661,7379,1367,204600,9651,2768,98,142,11444,135,2153,0,923,162317,198379,33
,瑞光里,2167,1847869,33803,32345,1549637,111216,14634,1900,1516,85501,2580,11920,128,2690,1287228,1585460,2690
,湖南里,254,173028,5153,2499,139577,7727,1590,121,119,12034,427,3684,0,97,110582,144033,6
,長安里,388,244138,5620,2792,210306,8365,3777,247,106,9253,874,2778,0,20,165046,198878,146
