"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
彰化市,中正里,515,997299,15976,30689,287947,34727,31735,1206,255,580174,57,2995,0,11538,232603,941955,326
,文化里,450,392293,7432,15711,238683,42565,7524,420,108,76480,396,1745,0,1230,192265,345875,634
,新興里,1870,1677538,48355,27657,1269945,77674,23382,2977,1877,200075,846,19821,78,4851,1031472,1439386,1405
,下󿾴里,1766,1770531,43610,30351,1194692,94279,21708,4389,1127,358278,798,15816,707,4776,970489,1546329,3197
,民生里,551,545144,11109,18003,315090,43096,15493,1048,705,133355,385,5553,0,1308,257718,487713,369
,興北里,560,443450,9566,22040,317445,29267,9831,695,436,45801,105,6915,0,1347,255325,381329,324
,信義里,317,373133,7332,24996,203861,31226,19972,769,107,80898,50,1563,266,2092,172936,342082,1292
,陽明里,612,539686,13627,11683,365968,42026,5843,609,166,94398,1022,3152,0,1194,297196,471071,176
,萬安里,1413,1270504,28065,19732,848179,87126,18812,1427,1059,242574,2006,12542,0,8981,680901,1103225,836
,新華里,502,400890,8840,6131,291779,20669,5225,331,264,63678,731,3098,0,144,228629,337740,157
,光華里,289,253529,6935,9009,155320,22760,10638,114,263,44267,0,1472,0,2751,127711,225920,140
,光復里,289,385326,14057,14063,171241,19267,16499,295,223,145887,0,1682,0,2112,143197,357283,359
,龍山里,676,634725,13584,10249,462593,52246,4864,963,344,80142,94,6370,566,2712,384074,555841,2096
,中山里,253,204248,3685,3754,140359,14757,2776,214,220,35438,1298,1645,0,103,112884,177094,117
,永福里,306,417245,4278,11643,199440,25943,10598,1264,488,159544,0,1982,0,2065,165682,383487,215
,永生里,413,293213,8387,14131,172450,27390,15873,185,155,50970,248,1464,85,1876,135603,256979,534
,桃源里,694,581526,16189,26878,402174,29945,6955,464,236,93431,0,4152,0,1102,320136,499489,439
,大同里,334,298329,8732,16662,176781,22881,19429,296,1587,46350,0,2642,352,2617,145658,267206,842
,東興里,580,566213,13323,18589,365899,46852,10252,1855,470,103084,55,3015,671,2148,303486,503801,2141
,卦山里,880,937172,88670,16645,575403,65675,8490,1899,711,167738,1991,8722,104,1126,473766,835536,1296
,彰安里,1030,870538,28119,24440,578791,58205,30566,710,878,135979,394,8985,13,3458,463255,755287,431
,福安里,388,317439,9986,14379,191753,30858,14010,723,281,50593,119,1190,0,3547,154246,279932,193
,西安里,942,1170546,22305,20815,569320,50432,20828,1519,1284,475635,162,5992,0,2253,457465,1058692,603
,成功里,544,517203,18336,17101,336304,30086,16556,791,332,87899,0,4770,0,5027,276233,457132,275
,南瑤里,2756,2472953,72515,82153,1700200,139917,54541,7272,2187,379639,1264,30145,474,2645,1381843,2154459,3242
,華陽里,562,488293,5389,5093,352018,38796,3647,305,398,73264,75,8295,57,955,287261,423536,611
,延和里,1745,1715358,47578,33778,1181322,64677,22819,2663,1275,343749,1157,13289,52,2999,961305,1495825,1658
