"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
新莊區,海山里,1678,1348791,16038,19691,1034943,63069,33240,1939,1393,162855,175,12487,238,2722,831359,1145139,1468
,全安里,1384,1230169,17095,21793,942112,52216,19649,2194,1448,155897,821,14746,252,1947,770974,1058986,1860
,文衡里,666,590686,5831,16428,407659,39215,40371,818,3697,64634,0,5044,0,6988,330932,513959,581
,興漢里,1146,1025416,9193,25112,693942,60737,27297,2078,975,189718,226,12936,1257,1945,559138,890486,3865
,榮和里,935,859690,9759,14110,525532,56624,31303,7733,606,202250,1022,9235,40,1476,426677,760835,502
,文德里,535,474027,6044,4760,377824,22980,17632,1353,584,35421,0,5716,23,1690,311677,407880,328
,文明里,546,570116,10427,11130,363214,24936,13744,1308,628,139853,0,3512,240,1124,295171,502072,720
,中港里,2016,1801073,23529,29566,1258115,88639,69106,4898,1939,297854,4362,16969,517,5578,1010809,1553760,2188
,頭前里,2195,2543846,33492,59251,1532976,110199,108440,30542,1804,616576,2599,32446,276,15245,1270402,2281272,2486
,丹鳳里,2360,1713854,37659,15730,1420303,42177,21259,7469,1901,149477,102,13887,446,3443,1118219,1411728,2725
,西盛里,3400,2791380,69918,22702,1969910,97403,89898,11873,5860,483991,453,32386,21,6964,1535693,2357165,1264
,瓊林里,1668,1239926,26621,9337,959651,55137,34512,3174,2508,127584,179,9311,0,11910,752464,1032763,138
,營盤里,813,656441,15634,6232,395054,40597,71066,1364,4404,110821,323,2914,14,8019,308623,570010,466
,後港里,2239,1678546,18620,15230,1371307,62505,42301,4022,1922,140216,2604,15608,867,3343,1081120,1388758,3325
,國泰里,494,377945,7683,1380,229769,19285,16588,580,163,98928,374,1770,0,1424,173391,321578,95
,立人里,741,798023,11036,18721,569654,58782,15381,2834,1180,96349,1806,14660,182,7439,479116,707481,768
,恆安里,1345,1184288,12687,13304,909325,62963,25958,5416,1061,125033,7798,17495,566,2681,739820,1015134,2272
,思源里,1659,1361779,21680,27324,1010582,57082,51184,5745,1559,171862,22,10055,151,4533,806925,1158085,1404
,化成里,1164,964756,37535,11564,611734,54590,56317,9273,1229,164623,962,11253,737,4938,479254,832048,2510
,福基里,1355,1405477,23107,19416,916947,64932,66311,37089,1822,251702,1783,13154,0,9215,754839,1243370,1246
,思賢里,1299,1061830,6134,19846,878968,45781,11412,4978,1075,75765,196,16543,0,1132,710422,893284,483
,中美里,1668,1338274,17357,12621,1032143,75568,40304,2636,1202,137258,826,12148,467,5743,828298,1134429,1859
,中和里,1412,1103461,15529,14243,840469,51054,25763,3294,1743,137715,1280,9268,229,2873,673663,936654,1247
,中泰里,1220,841443,12286,7917,688390,29974,15049,2300,995,55903,38,13679,348,14563,538973,692067,1289
,立言里,1698,1402345,12304,22746,1134072,62610,17132,4460,1885,127187,389,18545,157,858,918294,1186537,1600
,立功里,1002,665236,11095,9462,544325,27884,12190,2387,645,49930,0,4691,0,2627,421889,542800,823
,立德里,840,815981,8767,23794,565036,41412,36330,1214,1777,125161,873,9388,224,2005,466942,717887,813
,豐年里,1115,810952,9548,11966,644987,26936,14689,2288,820,90512,0,8673,116,417,507642,673491,642
,忠孝里,1522,1214630,17201,18935,940737,54979,23114,2451,1085,128381,127,21950,78,5592,756060,1029953,933
,立志里,1152,916101,12130,13537,716361,37421,13450,4111,1059,108057,84,7661,774,1457,572478,772218,1417
,中誠里,671,793265,7113,8102,421065,18065,13083,1386,543,319850,0,2047,1,2009,337293,710034,402
,自立里,1487,1112934,12546,13124,918593,36088,23572,1631,1247,90128,178,11430,115,4281,732067,926298,519
,自強里,649,396555,7840,6449,343830,14319,4472,916,491,15543,0,2583,0,112,265061,317787,110
,幸福里,1249,777766,8686,7157,669075,25121,9922,2756,971,41420,32,10244,0,2383,514759,623451,221
,仁愛里,758,477193,16467,7504,402383,14720,1865,383,757,29393,0,2673,0,1048,309230,384040,155
,信義里,1619,1220470,20716,13510,982008,43299,29129,12941,1418,102686,427,11906,157,2273,779091,1017550,1648
,龍鳳里,2708,2525732,31527,33127,1979852,76795,24879,9890,3052,324584,707,34915,0,6404,1614720,2160907,2010
,民安里,1774,1370109,20762,13760,1109780,57289,29647,3942,1097,119372,574,12424,123,1337,872107,1132320,921
,光華里,2075,1547912,22391,15820,1251140,43395,26259,4082,1405,163015,81,17754,0,2570,974393,1271710,1187
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,富國里,733,479818,24204,9789,381629,17446,10195,1293,483,30760,0,2724,495,800,293172,391361,903
,裕民里,1923,1376309,22090,13628,1098524,46849,41740,4153,2057,121527,90,21455,50,4145,855916,1133700,1111
,南港里,1653,1179280,18132,13313,965986,42674,19511,2297,998,104624,31,10038,0,1675,753638,966199,685
,萬安里,1202,799557,9529,10271,657286,27965,9487,3635,1075,71445,61,6923,0,1879,509684,651955,513
,八德里,917,609606,9056,5839,493464,23608,14555,1147,3039,44245,88,13959,8,596,381812,498453,879
