"表166-O(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
東　區,榮光里,140,233156,3877,17183,65978,14611,59755,4123,324,64852,0,1412,0,1041,54260,221438,144
,成功里,262,306185,10167,9986,104868,17156,47857,462,157,113270,133,1063,63,1002,82390,283707,383
,育賢里,329,471953,8069,14801,310174,21415,35592,1394,537,66677,0,9081,0,4214,274838,436618,362
,親仁里,628,1073364,14641,9592,761577,52659,26519,7364,623,164610,1062,23549,0,11168,683603,995391,652
,中正里,231,251341,10384,20447,139463,11452,28039,4626,185,31598,0,1190,45,3913,116298,228177,299
,東門里,225,263487,10489,7430,97237,22917,54881,244,237,64141,0,2747,0,3163,78016,244394,296
,三民里,1832,2141849,39399,52638,1532328,114703,71097,7994,2151,266531,837,31883,0,22289,1316543,1926367,1357
,文華里,1748,1976855,35880,46239,1448207,104462,47058,6020,2116,230598,360,42952,0,12962,1236186,1764825,1054
,公園里,1131,1790395,25025,25579,1389522,69909,15654,5131,1574,196305,1590,45682,85,14340,1239163,1641343,1214
,東園里,2102,3083710,40803,23039,2467392,104878,50263,18985,4495,270564,2695,58260,699,41636,2174073,2790319,3543
,復中里,1704,2428129,32168,77610,1672963,117924,51990,4287,2599,385525,1484,69722,72,11783,1465881,2221344,1267
,東勢里,912,1773860,7135,14893,1449389,55490,15799,3257,3387,156972,1090,51339,107,15002,1315977,1640262,1809
,綠水里,2314,4149395,17394,33498,3326202,167474,39727,9344,4967,419356,11905,101998,1559,15969,3000750,3823905,7856
,東山里,1247,1692805,8251,31261,1222507,93362,17812,3444,1529,277996,2546,23073,129,10897,1065215,1535721,1583
,水源里,1064,918236,18261,13388,687380,40677,12466,2971,1209,132273,2,8165,0,1445,555616,786472,109
,前溪里,965,832303,29159,5828,604827,33236,43193,891,985,99254,830,8058,0,6041,484416,712564,369
,光復里,821,1049872,15124,7554,819682,39210,16969,1942,1252,109830,184,30308,1,7817,709698,940380,824
,千甲里,675,570315,9998,4440,453427,22185,14365,787,592,54164,816,8439,0,1101,369439,486327,331
,仙宮里,499,737562,3997,7202,605064,24412,13728,1071,1378,62222,1009,16365,0,1114,537829,670327,1148
,光明里,1232,2972387,26682,22690,2233529,133550,25339,4871,3710,418675,2365,73599,1722,25655,2071171,2810031,14422
,建功里,1110,1229325,8476,8656,981520,81315,10339,4784,1265,84193,1501,42705,506,4066,848444,1096570,3226
,金山里,1924,2951835,16113,23155,2362073,100699,57031,9793,3089,299595,3351,64495,305,12135,2097278,2687634,2902
,埔頂里,1351,1920485,24355,15796,1574787,76889,35937,4680,2256,132372,1950,44953,250,6261,1392359,1738426,1574
,仙水里,1704,2662804,22426,20867,2188726,93174,29605,15229,4530,224339,1083,55586,389,6851,1952982,2427717,2696
