"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
竹東鎮,上坪里,81,57194,1261,433,47844,2271,813,0,145,4141,0,287,0,0,37231,46581,3
,瑞峰里,115,90998,678,1353,76133,4334,1134,70,60,4982,0,1959,0,293,62578,77443,63
,軟橋里,94,57693,294,15,52713,933,99,0,66,3217,0,356,0,0,40234,45214,0
,員崠里,779,651457,12416,9122,539489,25279,4999,1690,747,37661,512,17015,148,2379,438018,549986,461
,上館里,3071,2641468,28741,21072,2253894,80011,9246,3670,2773,203066,551,36245,0,2197,1831458,2219320,919
,東寧里,1144,996114,13659,7422,862663,36322,6832,903,1142,52745,946,11591,3,1885,710581,844047,339
,大鄉里,1518,1445445,14320,11645,1226460,43398,6065,1222,1618,91203,886,27169,0,21460,1016951,1236290,456
,東華里,261,207380,9141,6529,134618,14305,7729,532,294,32807,0,1105,0,320,108229,180991,62
,商華里,969,765801,8235,11024,647168,34403,7540,692,2232,41344,132,11125,0,1904,523660,643174,735
,竹東里,467,378467,5933,18179,248600,28328,15795,453,463,54896,287,4775,0,757,201332,331199,218
,榮樂里,495,409552,5598,7676,315712,23813,8614,571,502,38113,0,6788,0,2167,261154,354995,153
,鷄林里,1341,1082292,20960,12357,896407,37634,16224,3187,1432,73556,352,17879,0,2304,732239,918124,146
,五豐里,2581,2333685,22379,25595,2049136,65386,12267,4690,2107,108563,432,39841,0,3289,1689913,1974461,604
,三重里,2295,2505681,41436,18979,2132783,75148,14505,3706,3770,151827,626,57335,85,5481,1810302,2183207,1668
,二重里,3399,4185548,38045,25656,3504437,110586,21973,6977,5474,318551,11944,135489,78,6340,3032165,3713489,2529
,柯湖里,175,135217,2306,1606,109927,5631,1590,499,178,11471,36,1568,0,405,87589,112880,158
,頭重里,1618,1958821,15504,12289,1680054,62705,16471,4452,2028,117639,508,43025,537,3609,1457972,1736457,1982
,員山里,609,662709,7678,5406,554085,22762,8168,839,555,48070,87,13528,0,1531,472802,581426,74
,仁愛里,1082,977015,15968,22699,795275,36502,15277,2356,1065,67203,214,19352,0,1103,657370,839020,257
,中山里,566,475018,8856,8765,374348,22529,1960,201,1002,50147,266,6647,24,272,304721,405367,336
,中正里,637,557515,6047,17469,454169,22871,4750,942,616,41981,698,7810,0,164,373463,476809,41
,南華里,366,315433,7516,5938,228626,21493,2947,183,293,45814,95,3034,24,-529,187353,274200,250
,榮華里,2309,2026188,23847,35045,1657375,97332,24520,2509,2994,140735,851,34767,410,5804,1365735,1734781,1564
,忠孝里,606,478227,5154,3633,391769,30102,6551,488,570,30805,1109,5753,7,2286,319494,405964,451
,陸豐里,190,155750,2073,1172,129652,4844,1493,97,456,14603,0,1169,0,192,104113,130210,3
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,26768,25550668,318046,291078,21363336,908922,217563,40932,32583,1785139,20530,505613,1315,65613,17826656,22015635,13471
關西鎮,東興里,154,120309,8308,3003,87406,8921,2669,335,55,6045,0,468,0,3099,69712,102614,32
,西安里,614,490730,6626,3283,386362,27451,13956,1065,341,42196,0,8346,0,1103,310752,415121,219
,南雄里,235,165698,1072,715,142570,7095,442,144,119,10770,97,2175,269,230,112747,135875,579
,北斗里,1210,951122,14903,15796,776051,55071,11737,973,1270,56131,1085,12806,0,5299,623985,799299,363
,仁安里,349,244531,5450,3062,205178,9653,4279,389,249,10988,20,5026,26,211,161025,200378,289
,南山里,321,241637,2990,4329,207816,11142,1454,336,320,11001,0,1974,0,276,163271,197093,5
,北山里,190,152117,945,425,130213,8172,1268,944,169,8605,0,1372,0,4,105885,127789,9
,東安里,1180,934798,23685,7572,772981,30839,7076,1827,1202,65182,511,18057,0,5868,612821,774687,385
,東光里,381,313382,8250,1499,262420,11352,5399,71,272,15774,104,7481,0,760,211706,262668,101
