"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
桃園區,文化里,250,309334,5965,15204,138706,21977,34620,577,155,51656,0,39922,0,551,116669,287297,111
,武陵里,523,544443,12169,11256,310366,36295,43038,2701,383,112744,292,11755,96,3351,255594,489671,530
,文昌里,331,287351,9089,9931,162678,17383,25576,4071,220,51979,0,2263,0,4160,132875,257554,120
,長美里,316,268375,3410,6772,179021,18099,19038,1606,225,34987,14,3509,0,1694,147616,236970,139
,永興里,580,492765,23384,9737,330835,29024,27133,1416,1128,65345,0,2899,51,1812,271059,432988,466
,南門里,1892,1754407,28463,25609,1380737,84767,32347,4818,2002,168669,1537,16074,25,9358,1145625,1519295,1415
,東門里,1033,1009152,9620,44076,675583,70583,36709,2289,821,143528,2355,18542,246,4801,562929,896460,2172
,西門里,505,493234,10865,20852,305750,28849,37083,5904,845,76272,0,3782,0,3033,252670,440155,295
,北門里,522,442526,15491,11861,310317,24457,16455,1816,519,55389,0,5324,0,896,252243,384452,263
,雲林里,2123,2026018,25695,26972,1670559,84910,26576,8221,2804,150073,845,17728,228,11408,1385862,1741759,1823
,豐林里,2137,1833724,26082,29277,1428064,89072,29174,3190,1789,196751,4365,21608,67,4285,1166111,1571561,1156
,會稽里,3001,2738633,27797,39336,2217695,92447,24186,15948,3540,223591,2006,87196,1201,3691,1825775,2347277,4384
,朝陽里,639,535953,7551,6869,410920,31151,8274,1004,688,59233,0,5845,69,4348,337122,462146,589
,青溪里,1523,1444067,24143,27051,996331,63187,38665,5152,2439,261483,1453,17199,202,6762,812877,1260612,1511
,汴洲里,1487,1215135,36159,17713,908617,43869,38566,4394,1959,149816,259,11068,71,2645,721859,1029427,690
,東埔里,1409,1121220,28058,19027,835573,57215,40464,6314,1218,118519,77,11032,0,3721,672440,958541,371
,中埔里,767,642909,13912,6283,496865,29341,19084,3901,722,63375,538,7142,0,1747,401212,547256,71
,西埔里,1063,1026733,35014,10982,742412,37892,24459,2622,1068,159670,4697,5715,0,2202,604733,889054,248
,中山里,2086,2171192,27082,48824,1740994,90606,24926,10484,2516,198443,459,18630,163,8066,1458173,1888319,1497
,中正里,1737,1813219,21384,40580,1327916,103821,25803,4010,1037,263344,2265,18244,40,4775,1112773,1598988,1499
,龍岡里,1931,1793282,22516,29189,1496790,63678,9294,5157,1996,126034,370,36483,27,1746,1232770,1529464,944
,東山里,594,547820,9175,12114,376285,46680,14825,2065,439,68620,2111,13395,165,1944,311048,482583,784
,南華里,426,390634,6864,10191,236036,23864,19013,1491,273,88506,16,3707,0,673,193428,348026,38
,大林里,3511,3043103,60686,43587,2511063,96808,28206,23624,4698,223107,526,37695,721,12382,2040686,2572735,2338
,文明里,506,509305,11410,10473,340359,33354,20558,1169,615,81096,672,7851,0,1748,284469,453414,427
,建國里,1695,1370879,21120,14914,1113052,59949,11172,7020,1357,122418,1310,13628,511,4428,900718,1158822,1358
