"表166-X(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：澎 湖 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
馬公市,長安里,173,170396,9211,11162,105353,14020,8736,200,230,17743,0,3501,55,185,89117,154160,315
,復興里,205,181341,3575,4822,158646,8254,774,73,72,4857,60,193,0,17,133814,156509,81
,新復里,1,187,0,0,168,17,0,0,0,0,0,2,0,0,60,79,0
,中央里,144,115778,4741,2511,85985,10161,1358,255,54,9294,24,969,243,183,70908,100701,549
,啓明里,307,326855,20586,3379,245135,14562,8719,2329,164,29146,0,2550,0,287,212642,294366,243
,重慶里,317,264474,19553,6542,184369,18471,6232,466,150,26141,0,1581,259,712,153930,234035,681
,光復里,586,512301,20958,9745,393334,37356,9656,624,640,34816,138,4303,0,732,328151,447119,276
,光明里,432,384359,11447,4993,308040,31378,3507,811,489,20030,163,2979,0,521,260843,337161,289
,重光里,450,416762,7968,2073,365508,22858,995,293,329,13266,473,2848,5,146,307793,359047,304
,西衛里,1270,1208081,32338,5678,1048951,60046,5774,1551,1085,41735,2062,7678,32,1152,886232,1045341,1053
,朝陽里,1697,1520356,34241,27708,1263446,104349,15115,2614,1382,56180,660,13559,0,1102,1062258,1319167,721
,東文里,941,804920,34383,15793,681920,37729,4838,1549,938,21524,137,5514,0,596,567158,690158,413
,西文里,1009,878485,40875,19367,711965,47625,9451,1224,397,40708,363,4321,119,2069,592921,759441,753
,案山里,630,521973,7758,3240,466561,21485,1534,2419,267,15879,1066,1467,0,296,389657,445069,417
,光華里,265,247205,1248,898,236410,5307,311,169,48,2358,0,433,0,24,200279,211075,121
,前寮里,300,299003,4940,835,269600,11075,369,2712,176,5486,232,3431,0,149,230863,260266,305
,石泉里,751,687983,11140,7851,619381,28015,2387,788,540,13863,322,3293,0,402,518920,587522,522
,菜園里,115,89023,4488,274,74323,4323,198,137,174,4893,0,212,0,0,59781,74480,0
,東衛里,563,487270,14385,2387,426604,24009,1115,612,1384,14644,436,1023,0,671,354098,415501,83
,安宅里,147,119837,3603,3268,99927,5619,2459,12,121,4045,116,652,0,14,82250,102160,12
,烏崁里,247,179695,8038,98,152028,10392,548,251,100,7701,64,442,0,32,122791,150457,83
,興仁里,275,219856,4350,698,201104,6398,1209,62,160,4612,1,1251,0,12,166436,185188,86
,鐵線里,147,109674,4387,212,91435,2966,538,755,190,8837,67,248,0,39,73991,92230,6
,山水里,368,276397,11019,5462,236406,6662,2117,464,579,11506,0,1912,0,270,191479,231471,153
,鎖港里,526,394926,14745,6814,343569,12027,1179,822,151,13701,72,1513,0,333,278551,329908,98
,井垵里,70,50484,1693,41,45600,1373,195,0,217,828,0,517,0,20,36667,41552,2
,嵵裡里,260,195054,1386,1623,179118,5301,782,0,207,3995,0,2449,0,193,144905,160841,227
,風櫃里,227,145321,1590,442,134458,2567,307,223,762,4126,0,723,0,122,106055,116917,4
,虎井里,184,131060,940,423,118878,3504,521,22,1636,4036,57,527,0,516,96685,108868,193
,桶盤里,44,27810,1977,31,23962,875,119,87,7,570,0,182,0,0,19254,23102,0
,中興里,273,257027,9776,5191,205008,12253,5209,319,190,17531,90,1291,0,169,173115,225134,66
,五德里,92,66131,1917,506,59229,2696,249,0,18,1373,0,143,0,0,49144,56046,0
,光榮里,1307,1215613,23707,32309,988560,101035,8563,3410,868,44502,1631,10365,0,664,833386,1060142,807
,陽明里,774,706253,27559,36410,533367,61256,13844,1360,336,27497,1096,2026,154,1349,449692,622578,846
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,15097,13211891,400521,222785,11058347,735963,118905,26614,14061,527425,9329,84096,866,12978,9243826,11397794,9712
湖西鄉,湖西村,259,216773,5503,1082,188575,12277,1860,179,268,6371,0,646,0,11,155551,183882,256
,湖東村,75,52919,1198,616,45006,4228,7,51,32,1427,0,324,0,30,35565,44064,6
,南寮村,132,98692,9225,1916,74348,5557,834,0,142,6354,0,314,0,1,57919,82263,12
"表166-X(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：澎 湖 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,白坑村,44,21502,1179,86,18959,681,0,105,13,423,0,57,0,0,14685,17229,0
,青螺村,47,33849,336,228,29070,2716,178,0,29,1194,0,85,0,14,23585,28365,4
,紅羅村,171,123202,7339,1775,105879,3682,469,166,110,3203,0,572,0,9,84737,102060,78
,西溪村,201,152442,4201,949,133690,8610,492,88,20,2864,61,979,0,487,110373,129124,21
,沙港村,188,151937,1165,445,135674,9334,654,73,134,3863,236,355,0,3,112786,129048,138
,成功村,185,150839,4310,369,134868,6553,614,178,105,3410,0,392,0,39,112256,128226,56
,東石村,26,20481,723,61,17770,738,68,0,3,1029,0,88,0,0,14328,17038,6
,鼎灣村,156,130710,2452,619,116924,5054,503,22,34,4305,3,735,0,58,97002,110788,13
,中西村,44,44248,3608,794,34583,1540,1466,155,59,1131,0,911,0,0,28639,38304,24
,潭邊村,56,47033,3461,41,37931,3821,457,0,184,1011,0,125,0,2,30855,39957,10
,許家村,88,73311,1165,372,68016,2220,339,0,24,1042,0,126,0,8,56508,61804,0
,隘門村,244,197639,4076,555,174157,12772,1823,348,81,2345,211,931,0,341,143177,166659,55
,林投村,240,166205,6885,872,145103,5238,1361,1836,70,4110,0,673,0,57,116052,137154,15
,尖山村,146,99101,2768,635,86769,2677,201,46,554,4825,85,506,0,34,68662,80994,44
,龍門村,416,273782,8281,1493,245094,9511,525,534,211,6659,17,1397,0,60,194944,223632,293
,菓葉村,125,99203,6207,149,84494,3140,139,51,151,3961,0,662,0,249,69183,83892,85
,北寮村,68,45190,342,6,40077,2998,94,0,29,1437,0,207,0,0,32118,37231,53
,城北村,72,49220,1680,387,44542,622,686,0,69,1113,0,91,0,29,35810,40487,0
,太武村,21,16141,210,211,13330,717,0,0,5,1611,0,57,0,0,10500,13311,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3004,2264420,76311,13664,1974860,104686,12772,3832,2326,63689,612,10236,0,1432,1605233,1895512,1169
白沙鄉,中屯村,141,109600,2992,390,89473,8545,552,0,67,5971,4,1606,0,0,72482,92609,165
,講美村,176,128721,2123,2460,112236,6020,347,111,23,4767,106,346,0,181,90964,107449,29
,城前村,31,28187,506,47,25462,794,105,0,64,1127,0,82,0,0,20796,23521,0
,鎮海村,29,29926,42,39,24667,798,332,110,7,3815,0,116,0,0,21339,26597,0
,港子村,70,52693,1657,642,46742,1332,977,31,19,834,0,460,0,0,37904,43855,166
,小赤村,42,39514,332,106,32818,4154,350,229,38,777,271,436,0,3,28079,34775,3
,岐頭村,52,32623,642,277,29237,1046,21,148,9,1089,0,155,0,0,23031,26417,113
,赤崁村,403,321350,9442,4243,277802,14750,730,104,1818,10325,0,2035,0,101,228454,272002,183
,瓦硐村,45,40090,989,1816,30253,2573,109,327,25,3842,0,155,0,0,24734,35108,20
,後寮村,136,106954,3080,442,87944,9582,342,268,34,4736,31,460,0,34,72615,91626,1
,通梁村,158,114727,3679,348,96932,7303,224,159,637,4970,0,475,0,0,77314,95109,8
,吉貝村,188,128251,5174,1326,104471,4212,2437,331,69,9481,0,738,0,13,83615,107396,75
,鳥嶼村,179,110740,3936,3293,92079,3558,319,73,42,4480,0,2959,0,0,71999,90659,15
,員貝村,33,26335,419,25,23627,1416,130,99,81,496,0,35,0,7,19223,21930,3
,大倉村,61,40428,6713,1380,27745,795,388,0,55,3236,0,117,0,0,21162,33846,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1744,1310137,41726,16832,1101487,66879,7361,1991,2989,59945,412,10175,0,339,893711,1102900,781
西嶼鄉,合界村,86,61887,3567,1133,48054,1978,530,0,17,5858,403,191,14,141,38255,52088,272
"表166-X(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：澎 湖 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,橫礁村,34,21148,308,0,18743,604,1,0,7,1449,0,37,0,0,14464,16868,1
,竹灣村,158,107214,3839,744,84729,5678,1018,181,42,9430,261,363,0,929,66515,89000,151
,小門村,61,42662,841,682,38271,994,136,142,58,1304,0,234,0,0,30494,34885,0
,大池村,111,82103,7378,1155,61778,5764,430,0,138,5170,0,290,0,0,49874,70199,72
