"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
松山區,中崙里,1442,2059360,18686,54277,1359413,102523,94532,22646,3252,357186,1206,40365,995,4280,1182270,1881874,4607
,自強里,3127,4333210,16827,85847,3219224,258962,38928,15885,4706,572735,44984,55199,1711,18202,2841570,3955433,8863
,鵬程里,1896,2469689,11101,40039,1765326,118798,46045,6730,2970,402973,19390,23662,992,31664,1531927,2236161,4033
,東榮里,2998,5871474,28575,239941,3200582,316232,239375,33141,2969,1656141,37304,66181,4478,46556,2866954,5537524,16177
,介壽里,1588,2693895,15557,97182,1622527,133122,106714,8633,1874,624046,40518,32609,697,10416,1441932,2514162,4397
,東勢里,1657,3446660,10416,43122,1483716,140012,141360,12169,2103,1567977,8823,32661,214,4088,1293409,3256554,3955
,東光里,2663,3659394,23425,75834,2386729,238790,162531,29117,2232,686408,7381,39027,1366,6554,2091358,3363793,7654
,中正里,3531,7518176,87539,194027,3706341,285602,459689,36824,4001,2643795,10120,75257,2481,12499,3284565,7096182,13750
,復盛里,2326,2628591,13294,45228,1802907,160492,69374,7564,2082,477969,11463,29115,550,8554,1532975,2358575,5637
,復勢里,2298,3245373,12952,106872,1941942,188203,173624,10964,2904,755004,1353,38827,1669,11058,1680650,2983672,7587
,美仁里,1238,2021690,22851,41687,1208888,100442,114723,15081,1704,475822,10847,21117,85,8443,1064549,1877351,1763
,吉仁里,1441,2041517,10607,55645,1299848,110097,79570,11540,1225,435905,9525,21742,543,5270,1135942,1877482,2937
,精忠里,1563,3141919,17105,145991,1668003,137865,115496,8988,1154,986390,18548,24378,626,17375,1490597,2964639,4968
,東昌里,917,9834963,5020939,16284,937433,94493,59671,3153,1382,3613489,14732,17901,61,55425,830651,9728109,2475
,福成里,1006,4183854,7444,57130,968443,91725,77677,25392,554,2927842,88,10313,378,16867,857482,4072766,3525
