"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
東　區,路東里,545,636376,21036,12917,381091,30198,9455,1264,1566,172690,10,5110,9,1030,318152,573437,896
,大福里,549,759577,5236,11826,278894,27214,5840,1803,570,424378,0,3579,0,237,219932,700615,108
,東安里,455,403124,7062,12326,279611,27091,6566,859,704,61070,90,6599,80,1063,229415,352919,710
,德高里,832,693853,19704,10055,569467,26671,12028,1486,870,45577,1236,5955,0,804,465710,590096,502
,小東里,1453,1522868,25466,47761,1135264,102881,18190,4041,922,169656,107,15035,443,3102,963116,1350677,4448
,後甲里,871,664730,23869,17053,524035,30594,10982,416,565,49774,90,6546,0,806,422191,562886,671
,關聖里,1547,2706337,42747,71765,1643071,97890,31732,9244,2184,776548,884,26129,252,3890,1434656,2497907,4923
,圍下里,720,776985,10692,29632,519592,53232,21858,2373,503,127556,318,8004,219,3006,445618,703035,1968
,虎尾里,1584,1472643,26364,27943,1162321,64262,15646,3599,1402,149946,289,20015,49,806,965269,1275732,2255
,中西里,1161,1538765,17444,66920,943623,97580,32892,2157,957,342194,1909,16010,944,16135,814592,1409492,6729
,泉南里,1649,1768433,25760,95450,1254671,108413,33749,5650,1288,221427,2562,13238,1185,5040,1069378,1583093,5459
,龍山里,1758,3494779,33455,73563,1618030,119156,53334,6202,1921,1567044,1268,16630,717,3458,1413141,3290440,6409
,忠孝里,1452,1472587,38651,27264,1044784,91011,23815,2058,1477,226131,4716,8995,287,3399,872078,1299838,2310
,崇誨里,793,572543,7477,14765,434903,55600,8109,897,540,42683,916,5117,249,1286,351490,489115,1105
,大學里,515,703611,5161,16285,489915,68790,18402,1853,474,93351,159,3003,857,5361,433351,646914,6202
,大德里,446,311701,3060,5025,233919,22797,3760,276,290,38929,15,3455,0,177,187268,265050,159
,東光里,1849,2753411,29414,114095,1677692,161710,41210,3923,1610,675219,2739,27017,950,17832,1459823,2537097,7321
,大智里,2109,1799879,28172,35313,1494598,84959,12174,4963,1720,115898,1006,18633,102,2342,1219667,1524949,1949
,新東里,899,929167,14087,35631,672459,67340,11163,1403,1150,111653,1606,8175,1413,3089,569337,826006,4023
,仁和里,1348,1018307,27117,19829,858973,37986,4985,1583,1355,56701,180,8654,145,798,688471,847809,979
,富強里,1513,1433249,15296,31094,1088300,62173,21919,3706,1879,190527,3911,12169,566,1710,908230,1253062,3472
,衛國里,466,485844,4864,6348,340286,20219,1739,350,627,107730,1011,2248,66,355,285716,431274,931
,自強里,1779,1917177,40162,64466,1292870,83656,33758,3061,1818,374511,868,16916,0,5093,1078924,1703232,2304
,崇善里,1688,1711040,36735,41315,1357116,69080,24317,2738,1760,144239,2901,22929,261,7648,1144553,1498460,2435
,崇學里,1041,1179620,12965,81765,723359,69768,25515,3072,1785,242416,1990,9617,6,7361,609206,1065576,1564
,崇明里,1466,1887164,21698,61474,1273060,96663,26558,4040,1059,356617,1622,38792,154,5425,1097532,1709513,3234
,裕農里,983,958480,18029,24592,671969,53459,19930,1112,708,156171,1121,10419,383,585,558091,844602,2069
,莊敬里,1357,1505141,20781,51469,1096366,86862,12147,2334,1782,207779,164,16604,761,8091,935260,1344033,4369
,和平里,1640,1861670,27303,61097,1410524,69993,26157,7388,1529,238165,914,16374,289,1937,1199729,1650838,3045
,富裕里,693,663621,10649,15487,436704,35169,8082,4520,709,145117,877,5902,89,317,356076,582945,1494
,東明里,1167,1307723,17011,35938,886571,94366,17733,3136,758,238274,2125,10728,204,880,756807,1177960,2731
,崇德里,1657,1655142,30248,43559,1142221,98539,30367,6894,1894,281625,2020,14907,173,2696,949341,1462247,1634
,東智里,682,524792,8180,7340,433997,27392,3927,382,637,35083,416,6733,0,706,349426,440299,321
,東聖里,718,564193,13638,5078,439784,27408,11762,658,544,47170,2,5172,0,12977,356333,480742,642
,崇成里,1019,1063010,16032,33999,760873,53894,32402,2387,1112,150688,1279,9019,50,1275,634568,936855,1428
,東門里,665,910256,10576,15464,428075,50465,20131,2261,451,374043,0,3882,639,4269,361111,843254,2683
,成大里,630,615391,11614,13895,449443,50734,14402,1683,337,65561,101,5937,0,1683,382347,548333,421
,大同里,852,731666,15948,14815,527249,47607,6367,946,5562,104933,547,6997,2,693,435999,640416,1050
,德光里,1495,1852005,27706,75582,1224770,103603,31577,5716,1078,361450,319,16568,1661,1974,1048915,1675818,6756
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,崇信里,1289,1179125,35332,39622,868423,64515,35161,2413,1277,119995,171,10341,37,1837,717911,1035022,1923
,崇文里,2020,2018301,34132,58233,1509976,107111,20225,4218,1753,243639,7073,28577,1236,2128,1255629,1763818,4433
,復興里,1073,901135,16630,25844,731006,37518,8458,1501,901,67074,1005,9032,127,2039,598571,768700,900
,裕聖里,1616,2220611,32108,51692,1768885,96671,18271,3994,2677,216331,1137,22918,596,5331,1535293,1987019,5005
,文聖里,1502,2162630,34032,66635,1631375,81607,19420,8042,2215,270701,728,37388,778,9709,1420116,1951232,5012
,南聖里,865,1233159,15511,15765,932870,42143,11323,2607,866,180017,521,28294,351,2890,817509,1117798,2241
,其　他,1,420,0,0,0,0,420,0,0,0,0,0,0,0,0,420,0
,合　計,52412,58542243,939155,1687990,40642986,3005989,857958,135209,57786,10388282,52925,594362,16332,163270,34335848,52240574,121228
南　區,竹溪里,632,787317,16549,22276,483064,51151,13125,1166,382,188055,136,10155,385,873,413566,717809,1629
,新昌里,676,485663,9268,19499,367573,28631,14486,694,787,39734,38,3886,411,657,296492,414743,1507
,田寮里,1002,767575,20394,32261,557902,54813,9557,977,677,78452,0,9929,514,2099,447274,656947,1636
,荔宅里,43,48581,1213,49,40338,1445,787,1688,48,2766,0,248,0,0,34914,43158,113
,明亮里,989,681449,15749,9756,552322,25981,6806,1218,661,59951,1449,6852,11,692,435569,564691,600
,日新里,552,405432,12539,18351,267107,18975,6126,852,226,77749,0,2666,204,636,207170,345495,574
,光明里,1102,725944,10308,7105,607371,22657,8200,667,944,62264,14,6204,0,212,474615,593188,719
,白雪里,453,292861,17415,3991,228594,11544,2426,121,310,24768,0,2981,0,711,177816,242083,70
,喜東里,588,444885,26670,3569,334909,12729,3616,451,516,54835,300,7276,0,14,261686,371662,189
,喜南里,248,156044,3375,2178,130520,4615,216,122,94,12885,86,1641,0,312,102206,127730,149
,喜北里,477,287607,12191,1990,247846,9108,700,760,316,12194,0,2502,0,0,188722,228482,326
,省躬里,687,432589,13341,3492,356223,13616,5591,1713,365,31478,245,2358,0,4167,273824,350190,446
,佛壇里,604,407938,9878,5077,334449,11767,3262,225,592,36653,16,4855,0,1164,260008,333521,79
,同安里,542,354847,15433,6584,272646,15690,2029,735,419,36844,0,4085,0,380,207698,289898,284
,興農里,514,314006,14394,7212,254278,8925,2512,1298,151,21763,0,3209,173,90,195893,255620,647
,明德里,143,123899,2542,6373,98154,8151,515,949,92,4670,0,1817,0,637,81005,106750,83
,廣州里,716,591819,14297,32858,393076,34264,19846,3984,643,87110,382,3622,0,1737,319408,518151,497
,新興里,893,766326,22348,27161,509076,46642,18103,1635,677,119795,1990,8630,0,10269,413149,668917,519
,大成里,270,214941,13081,4712,138437,19092,5640,1589,218,30396,0,1238,0,539,111975,188479,144
,國宅里,778,566239,10801,18287,447157,30042,4039,674,516,47970,1111,3890,0,1751,358329,477412,240
,新生里,951,634292,9135,17358,527469,39135,3047,1966,737,26312,1416,7207,0,509,425241,532064,583
,大林里,753,767828,11021,16953,561351,54345,15655,715,500,96371,459,9007,163,1287,475856,682333,2517
,大忠里,1301,925794,24440,11681,715147,53143,17918,1358,774,92113,785,7306,0,1129,574745,785687,553
,大恩里,1082,831739,16567,13046,648525,49107,7180,465,1278,82245,3316,9176,0,834,522608,705822,559
,明興里,924,614911,28079,13195,483754,24617,6761,747,593,50010,236,4124,533,2264,376850,508008,1208
,文華里,1055,866991,18339,19684,549601,42642,11431,1324,971,210799,432,9889,161,1719,435882,753293,1745
,再興里,723,767556,14488,12285,391736,39140,19889,615,473,282074,1171,4334,20,1332,317818,693638,825
,金華里,1530,1241527,39257,41693,837055,74376,29633,1673,1196,203334,378,9171,7,3753,670985,1075457,756
,南都里,583,376232,6895,4594,313528,11855,2089,864,453,31545,638,3762,0,9,241272,303976,79
,開南里,1548,936272,20022,8319,823962,22637,2110,1519,773,44890,21,9997,577,1446,634050,746359,1547
,彰南里,594,810391,21572,2402,311336,31242,20718,2511,337,415413,50,1699,0,3112,246506,745562,276
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,建南里,1511,1060823,46991,17489,832326,37393,11563,1820,1234,97162,544,9948,0,4353,654040,882537,460
,郡南里,1046,688358,27443,11086,536020,35441,6631,1150,1019,60882,1422,5891,0,1373,414082,566420,125
,府南里,1433,1074515,25061,14418,869338,54133,9358,1989,1101,85757,1470,8573,37,3281,696541,901718,818
,文南里,1739,1595645,45178,32550,1049050,85295,44716,3535,1779,314180,3274,11230,1128,3730,851104,1397671,3053
,鯤鯓里,349,207217,7443,2371,169506,7926,1212,443,280,15381,0,2553,0,103,129867,167578,67
,松安里,386,237664,6788,3734,197522,6781,2010,1179,152,14673,0,4184,0,642,150309,190451,17
,永寧里,379,216513,7111,4723,172166,7340,2332,394,675,18770,0,2169,0,835,129449,173796,18
,南華里,650,389282,8071,9742,337155,10891,1115,825,446,17675,13,2885,0,463,260580,312706,82
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,30446,23099511,645685,490100,16947589,1117276,342950,46610,23406,3189917,21391,211150,4322,59114,13469103,19620003,25740
北　區,振興里,560,509122,7209,14618,377111,42083,9319,2015,808,50166,478,3749,0,1564,315781,447792,954
,新勝里,536,369154,6748,8290,278466,32214,5546,766,218,32770,117,3307,381,330,223949,314636,1262
,開元里,661,474710,11197,5508,350176,25907,3832,322,285,71523,1100,4474,0,387,277601,402135,472
,大道里,539,373123,5207,8758,310593,23239,1451,2078,333,17523,0,3209,85,645,246318,308847,432
,大山里,95,56063,807,64,46997,2301,113,1,166,4565,0,905,0,145,36266,45332,0
,和順里,2504,2999365,68233,103856,1950454,148747,55749,6286,2458,625152,3560,27166,876,6829,1658505,2707267,5992
,興北里,388,275896,13352,7153,194047,22119,4301,431,411,29360,2021,2298,0,403,151575,233425,252
,興南里,507,459118,6335,13417,341962,22757,8776,1295,314,59209,198,3999,0,856,282925,400081,573
,六甲里,682,508705,16724,5054,396676,26222,4894,1384,874,51996,1211,3309,0,361,318416,430445,146
,安民里,323,251167,7180,8329,173279,12738,7048,457,215,37586,1371,1641,4,1320,138202,216090,281
,成功里,1557,1746880,61572,43797,1130712,71676,24596,3489,1000,389540,74,15363,379,4680,938905,1555172,2441
,文元里,2098,2235711,58269,46717,1696419,80909,34985,6365,2030,278075,5162,25284,168,1329,1425266,1964558,1961
,大港里,1632,1256530,42722,19632,1002030,47327,11309,2003,1778,109647,6894,11585,525,1079,806472,1060635,2013
,大仁里,231,157705,2447,7262,118186,10237,853,370,293,11804,0,4821,533,899,95173,134691,997
,國姓里,409,340238,12513,7974,204235,18410,8278,1211,247,78550,58,8366,0,395,159871,295874,310
,實踐里,597,441215,6198,8638,363068,20992,2987,1173,422,31531,441,5721,0,44,291310,369457,293
