"表166-V(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
臺東市,中山里,263,212186,10815,4668,131417,14493,6681,187,132,42690,0,933,0,171,106166,186935,34
,文化里,240,211628,8971,3177,151483,15105,9981,395,310,19671,0,1748,180,606,124891,185033,694
,中正里,280,226315,11326,36174,132068,17003,9554,247,129,16873,0,1318,0,1623,106129,200376,198
,中華里,363,237824,10970,2591,197986,11840,2979,554,100,9458,327,999,0,22,157493,197331,60
,成功里,178,107160,3793,1321,86596,5949,1419,214,33,6764,0,934,0,137,68452,89015,3
,大同里,198,132923,8940,2840,103152,10492,879,274,140,4961,566,526,0,152,82518,112289,18
,寶桑里,191,123349,8897,3422,96336,7478,1329,198,209,4719,267,492,0,1,76380,103393,217
,中心里,994,906196,26609,30585,724607,64968,9905,2914,640,37286,319,6343,19,2000,607219,788808,1421
,仁愛里,193,120602,6897,513,99252,6356,1741,36,128,4948,0,731,0,0,79260,100610,7
,新生里,2043,1724485,52563,54695,1382255,113870,22127,8816,1267,72042,611,12964,1194,2081,1138627,1480849,3817
,復興里,95,73584,2705,906,58484,3433,648,20,19,6664,18,631,0,57,48316,63416,55
,豐里里,469,345021,15027,2899,297945,10196,1363,149,429,14491,202,2294,0,26,240129,287205,51
,豐年里,560,399913,13576,3068,348551,14434,5011,285,352,12549,45,1170,0,873,280562,331924,42
,豐原里,218,147097,7336,1264,117926,6475,1523,406,673,9852,30,1608,0,2,92668,121839,54
,康樂里,287,198240,5949,4157,166264,8892,1996,204,111,7050,327,3077,2,211,131896,163872,247
,光明里,808,887696,17059,15780,630372,30273,10906,2905,1096,174459,1820,2720,0,306,523965,781289,1120
,鐵花里,123,107407,6962,5522,59796,12119,11091,103,112,10040,0,340,0,1321,47078,94688,178
