"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
花蓮市,民意里,480,338239,22228,3463,275919,15149,1630,579,225,13970,63,4882,0,130,219789,282109,108
,民政里,1266,1129098,19446,60901,887793,71330,9617,2265,1110,62929,618,11116,245,1726,734666,975970,2040
,民運里,613,467103,9272,27942,347185,22487,3236,866,551,49987,18,2449,0,3109,278644,398584,455
,民樂里,189,176109,4045,13703,118308,10112,7150,141,86,18930,299,2894,0,441,95830,153631,329
,民立里,551,581624,13239,11019,454080,36691,5441,1072,420,45095,428,13155,12,971,388985,516528,901
,民勤里,1066,1165414,21171,72023,910616,64581,8783,2004,558,76185,1714,6948,0,830,771366,1026164,1305
,民德里,556,549184,8707,14309,443974,27728,4519,1400,605,44276,0,3292,182,192,372998,478208,1691
,民權里,107,102522,1577,3874,82030,6049,1623,112,27,6929,72,196,0,35,69621,90113,201
,民有里,185,156597,5090,2083,125463,4102,2611,183,209,15696,562,568,0,30,102362,133495,140
,民主里,158,121147,6495,4018,97298,4197,1730,75,334,6414,0,468,0,118,79356,103204,44
,民治里,12,9248,132,0,7665,510,642,0,10,272,0,18,0,0,6233,7816,0
,民族里,136,119538,7188,6075,78885,7473,3739,1239,151,13335,0,778,83,593,65529,106182,457
,民生里,377,312223,18011,6695,201381,18400,29075,1653,1514,29687,0,4294,39,1476,166769,277588,633
,主商里,216,184088,11775,8562,119896,10191,15788,475,184,15329,0,1612,0,276,98022,162215,39
,主勤里,278,240810,14103,8935,150583,14771,24504,682,309,24517,97,1836,0,472,123601,213828,107
,主工里,195,152559,18004,9887,94222,8186,7160,226,215,11875,0,2271,0,513,73684,132021,57
,主睦里,155,114134,6524,6887,80711,8451,3421,254,126,6216,0,1148,0,395,65323,98746,103
,主義里,132,98922,3191,3291,76206,7232,1489,584,259,6273,0,365,0,33,62817,85534,117
,主計里,205,168551,5707,10383,129455,7303,1342,244,73,9015,0,5027,0,1,105219,144315,75
,主信里,187,133842,7665,5900,82323,10127,6448,922,188,18654,65,1358,65,128,65546,117026,339
,主和里,791,531798,30052,18291,410449,30327,6282,1236,542,30020,195,3456,0,947,324173,445521,226
,主學里,600,418583,18702,22665,305031,23976,9728,1004,434,32819,119,3658,0,447,242817,356368,416
,主農里,1139,860061,22267,40167,691572,44614,7278,2831,691,36974,469,12483,0,715,557134,725623,769
,主力里,885,664030,22973,31617,468304,48352,19790,2521,612,62618,35,5327,36,1845,375077,570802,491
,主權里,1684,1256235,52192,41942,992626,68163,14681,2189,1073,70649,626,10818,0,1275,794645,1058253,671
,國治里,325,296340,9119,18897,190428,26625,13219,952,147,32389,205,3362,117,880,158110,264245,530
,國風里,1084,898341,31967,27695,677229,70799,15835,1686,1461,59287,830,8996,352,2204,553970,774913,1331
,國威里,514,441065,20155,34664,274811,26868,23348,3515,615,49673,195,5321,84,1817,222395,388649,864
,國安里,193,147312,8908,9802,99419,8518,6773,345,50,12093,0,890,0,515,78391,126285,71
,國華里,764,650105,18919,14455,504816,47498,9808,2018,445,46796,183,4596,0,570,419831,565119,720
,國魂里,683,563940,20180,25554,415059,33952,7438,620,500,49594,833,8687,0,1521,338858,487738,387
,國聯里,921,678906,28528,38154,484960,43828,20548,2291,677,55210,166,3582,0,961,388905,582852,359
,國富里,1695,1355421,26677,55725,1042767,88675,18509,5626,1016,103361,1250,10331,98,1386,851156,1163810,1296
,國慶里,290,321997,10047,12358,246035,15635,4188,935,186,30030,0,2129,0,453,213452,289414,589
,國福里,353,202295,6980,1600,180321,4966,2208,323,212,3679,0,1926,0,79,138202,160176,83
,國強里,530,442410,15819,10969,371039,18001,5152,863,424,16130,207,3060,0,748,303658,375030,412
,國防里,245,179627,5209,5951,145716,9218,2094,120,127,10050,24,754,0,364,115273,149184,17
,國光里,363,297568,21041,25898,195312,16263,7682,243,263,27930,0,1647,0,1288,157149,259405,159
,民心里,309,332989,10744,3365,190427,16449,3420,618,96,106024,0,1514,0,332,153043,295605,132
"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,民享里,960,869156,17986,23887,709565,42070,6641,2529,746,61434,188,3712,0,398,589245,748836,1017
,國裕里,1415,1146139,44078,28271,871129,58572,21749,3613,880,103891,464,6488,0,7004,706198,981208,819
,國盛里,1085,776471,21928,28710,618798,39353,14167,3234,570,40592,1257,6476,164,1224,496086,653757,787
,主安里,822,598428,15483,24741,465955,37372,5321,863,489,43619,12,4018,81,476,374264,506737,798
,國興里,1357,1382320,28653,46069,1150963,63154,9612,3211,1130,70186,646,7552,83,1061,972203,1203560,2998
,民孝里,1066,920117,13239,17730,775432,43707,6171,2141,904,53969,456,5388,0,979,634832,779516,741
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
