"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
苗栗市,中苗里,412,345104,4581,31246,250207,20594,8789,467,446,23339,14,4018,0,1404,204101,298998,65
,青苗里,347,285540,11479,11982,180233,24788,8743,993,219,43371,73,2829,0,830,145001,250307,29
,玉苗里,270,191239,2891,2475,145074,14698,2190,184,166,20863,0,1767,53,878,115839,162005,448
,綠苗里,262,188341,5314,5501,144220,13485,5389,37,192,12257,159,1473,0,313,114850,158970,3
,高苗里,1064,852727,16588,18265,695476,39126,22102,478,828,44641,984,13304,122,814,560560,766883,891
,恭敬里,469,369690,7677,4845,305034,17873,5756,1058,223,22156,0,2882,327,1859,247237,311893,920
,新苗里,335,246191,2797,5836,179318,18217,8396,535,229,28377,75,1674,0,738,143519,210393,36
,勝利里,1358,1138663,13251,7747,924179,49914,11030,1839,1600,110248,795,11991,79,5989,745653,960124,859
,維祥里,1229,999570,14813,8142,865213,60662,5617,1196,883,28828,138,13505,0,572,706897,841254,733
,玉清里,842,684677,3521,10925,572562,54872,3925,656,627,27385,524,7496,330,1854,471836,583952,937
,嘉盛里,1291,1040821,16811,12756,878915,50873,11240,2979,1395,50716,365,13724,0,1048,715184,877090,499
,福星里,1448,1233295,20014,15071,1052254,49973,6071,910,2176,66624,832,18420,574,377,856226,1037267,1529
,北苗里,1913,1695638,32027,34894,1371918,96238,24724,2742,1409,98525,471,30535,0,2154,1124699,1448419,1158
,上苗里,635,558848,6275,11246,416978,44411,11079,544,399,54352,548,11150,93,1775,346164,488034,712
,福麗里,1705,1413808,22707,27211,1155244,77430,16271,3845,1464,78862,1573,24230,437,4534,942762,1201200,1846
,新川里,363,288492,7715,3244,242979,8312,2630,815,262,19360,179,2699,0,295,194951,240463,78
