"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
斗六市,忠孝里,512,416866,21464,48591,244145,36717,9116,1582,282,49499,63,2543,0,2863,196066,368786,209
,仁愛里,329,306371,6825,11842,159974,24264,18487,257,111,76789,127,2871,0,4824,129405,275802,152
,信義里,224,174810,3984,21826,96186,17377,14964,575,88,18275,0,1259,0,276,77181,155805,220
,四維里,200,160708,4445,9184,92213,13687,7504,53,126,30328,128,2403,50,588,74415,142889,493
,太平里,266,209964,8103,14498,135590,17095,3504,117,102,28705,15,1325,28,882,108669,183044,252
,中和里,267,214208,6219,15681,130295,23138,12577,123,79,23069,11,1818,0,1199,106388,190306,275
,光興里,258,198078,5716,12481,107314,16269,13403,438,217,39860,497,1198,0,685,86894,177658,183
,三平里,1556,1455830,33780,29624,1133455,79310,11412,1669,619,141648,435,13053,379,10446,940745,1262933,2306
,八德里,981,718595,23387,8990,588667,32738,6472,1054,463,45853,758,8859,0,1356,467181,597109,424
,鎮北里,894,697951,13562,10947,569011,43186,4943,974,535,48384,390,4840,0,1180,461600,590541,337
,龍潭里,555,677771,10917,25013,528323,36867,9996,3660,202,56703,185,2479,0,3426,455474,604947,2537
,鎮南里,1231,995994,21832,26053,752241,79450,26611,1312,1176,72804,550,7230,0,6735,616772,860525,788
,林頭里,1171,935064,32152,16087,738888,43318,12405,969,725,73875,259,14621,39,1726,591778,787954,542
,重光里,599,395824,5237,3424,325513,18809,3052,1136,177,33871,0,4489,0,117,251226,321537,259
,溝埧里,211,176726,2449,690,148793,9405,1568,1064,135,10616,0,1406,0,600,121293,149226,189
,江厝里,563,383303,16502,4476,329653,11808,1237,91,284,16004,17,3130,0,102,257608,311258,211
,三光里,119,172645,1968,261,70949,5371,318,346,61,90039,0,3329,0,4,56286,157983,6
,崙峰里,774,697071,6871,19599,538437,40530,7921,2622,650,71165,463,5804,0,3008,441505,600138,515
,嘉東里,428,375778,11919,9201,311033,13895,3624,483,144,21951,419,2221,0,887,257497,322241,370
,久安里,621,484127,13236,4918,409580,21447,1958,598,266,28613,544,2669,13,285,330430,404978,808
,長平里,451,309376,6588,4370,258750,15139,2843,218,250,19035,24,2029,20,110,200865,251471,315
,保庄里,1654,1412921,24157,21066,1186960,59718,10631,2513,1047,88407,682,15394,184,2163,969829,1195789,2195
,虎溪里,1663,2011225,23899,13374,1086055,68082,19218,4691,806,780428,103,12802,271,1496,877770,1802939,1820
,梅林里,364,296766,5652,3205,194405,15295,30261,338,150,44419,12,2559,0,470,150285,252647,45
,湖山里,248,159842,6260,1330,129957,5259,1203,170,69,14935,24,460,0,175,100918,130802,11
,榴中里,1288,874945,24884,8986,734766,28454,7454,1008,741,59521,308,6955,0,1870,566095,706275,330
,榴北里,289,169596,2429,603,155229,4760,890,29,87,4252,248,963,0,106,116591,130958,73
,榴南里,537,377447,8517,3719,296740,10547,3991,374,148,50505,168,2640,0,97,223089,303796,13
,長安里,781,495634,17244,5417,410982,16658,3230,3618,361,34302,0,3669,0,153,316831,401483,104
,溪洲里,848,602020,16887,7498,527814,17341,3025,891,257,23804,101,3562,0,840,415868,490074,453
,十三里,255,176342,9479,2125,124970,5459,1057,110,67,31481,0,1400,0,193,93696,145068,70
,鎮東里,1629,1368860,41724,39585,1003723,124415,20190,4414,1218,113067,1158,9882,0,9483,820876,1186013,626
,鎮西里,1207,990061,23421,21914,751331,68629,21878,1689,774,86340,935,9225,340,3586,613677,852249,1141
,社口里,690,518756,15028,18719,388530,44803,10986,763,424,31603,98,6446,0,1355,315491,445716,133
,公正里,933,805599,14175,20438,626589,58274,10066,1647,489,66627,81,5218,143,1851,514899,693914,656
,成功里,779,705457,61434,25674,492858,37924,12412,3108,832,63659,49,4415,0,3091,401446,614045,412
,明德里,1059,851955,20263,15021,724381,35291,4154,886,539,43548,36,6074,0,1764,587793,715366,424
,公誠里,756,673053,25200,15678,448699,42755,11752,7482,483,112733,94,5659,0,2518,363595,587949,165
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
