"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
鹽埕區,藍橋里,363,290315,6558,6253,223943,14301,3508,298,199,32750,0,2423,0,81,182436,248808,378
,慈愛里,89,90848,171,331,56714,2767,1573,17,17,28573,177,364,0,143,46288,80422,101
,博愛里,158,110330,6448,2681,79988,5565,5109,353,29,9427,0,674,0,56,64008,94351,34
,陸橋里,309,244803,4333,12807,169442,16497,8240,407,227,31728,0,1005,0,116,135213,210282,75
,壽星里,348,282382,14649,10748,173959,15943,9773,3558,238,47191,0,4697,0,1625,140386,248810,259
,中山里,385,337123,7152,7818,207883,31814,10159,655,253,62746,300,2918,126,5298,170873,299987,817
,瀨南里,166,291215,5428,3611,78246,10314,16422,129,129,174166,0,1908,0,862,64067,277037,36
,新樂里,299,284899,3224,5684,173780,18951,24893,1124,144,52257,0,4089,172,582,144678,255446,807
,教仁里,657,1559616,12099,11458,362614,28731,12138,1159,432,1126694,219,3191,0,880,296862,1493864,598
,中原里,197,155089,3441,2443,90585,8562,13356,387,99,35042,0,1012,0,163,71700,136221,198
,府北里,413,270041,7713,8743,198853,13431,7942,930,208,30102,127,1812,0,180,157277,228470,129
,育仁里,256,216946,10777,8867,131340,13520,8134,339,156,37886,211,5268,76,373,105999,191605,515
,光明里,408,374838,10831,10982,205608,27915,22112,2404,779,90284,0,3705,0,218,166914,336144,292
,江西里,320,308609,9692,3638,218465,16660,18150,682,146,38466,0,2051,0,660,180045,270591,254
,港都里,279,205135,6211,2493,142449,12589,7974,284,147,28733,578,3596,0,82,114963,177659,89
,新化里,165,111738,2947,477,91842,4694,1117,98,28,9365,0,1169,0,0,72360,92257,4
,江南里,199,190129,16693,3302,88340,8891,12820,41,92,55980,0,3280,0,690,67492,169280,89
,河濱里,600,577840,9556,15960,334647,36868,18650,2509,304,152637,1220,5219,260,10,275328,518521,1347
,南端里,285,319505,12625,3049,130082,19386,18979,417,141,133293,0,1014,0,519,103387,292810,126
,沙地里,206,460199,6090,11345,128481,13875,5034,736,100,293167,22,1349,0,0,107334,439052,243
,新豐里,232,199218,3276,1133,157352,7192,3146,1439,168,23620,0,834,46,1012,130685,172533,528
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,6334,6880819,159916,133826,3444615,328464,229229,17966,4037,2494106,2854,51575,679,13552,2798295,6234148,6917
鼓山區,前峰里,1382,1154994,26049,20657,874069,90530,17484,6592,1446,103577,1856,10547,203,1985,718547,999472,1091
,光榮里,1050,761326,6815,10876,612423,40152,12972,1196,699,61519,0,10247,14,4414,494578,643481,399
,民族里,360,256137,4929,1580,211630,14973,4968,256,229,15390,191,1746,0,244,169244,213751,89
,自強里,203,175183,1491,11684,111092,27670,735,664,120,14809,1293,5612,0,13,92142,156232,207
,建國里,751,646683,15000,6289,480333,34436,18728,879,229,81821,496,6690,0,1781,389851,556214,247
,內惟里,282,221374,6149,4053,163744,12917,4959,49,77,27018,0,2202,0,206,133202,190832,40
,忠正里,1071,829478,14702,17394,606057,45195,24506,2590,760,107201,2,7564,87,3420,484981,707652,567
,龍井里,321,220358,4621,6884,177268,11165,5417,137,103,12362,0,1575,0,825,142213,185302,344
,平和里,1121,871033,15312,19853,684611,42491,8074,8392,773,78137,366,11524,0,1499,555823,742666,796
,龍子里,5346,6447204,105398,214375,4764025,254913,153560,49251,4251,739680,17510,99639,1579,43023,4102938,5790544,10867
,鼓岩里,289,172922,5469,900,133841,8900,2623,469,86,17520,0,2372,195,547,103504,142585,503
,樹德里,340,300021,4986,3260,220915,9607,2148,310,312,55824,0,2619,0,41,178446,257552,212
,寶樹里,269,174422,1936,1380,145992,7866,799,134,183,13692,114,2206,0,120,115912,144342,137
,綠川里,338,234354,1143,2554,194481,12592,3200,371,966,16775,45,2110,0,117,155845,195718,113
,河邊里,408,302286,3730,3903,246295,14239,3589,1392,295,25459,0,3011,0,373,197862,253861,142
,興宗里,337,225045,8242,7606,178705,12088,1811,238,119,13690,143,2190,0,213,143505,189985,70
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,光化里,302,197307,3991,1750,158265,9061,1315,479,122,20589,0,1635,0,100,126519,165561,358
,山下里,382,317200,5724,5336,250151,12739,2803,2371,271,34677,82,1810,0,1236,207376,274425,200
,登山里,173,151375,4074,2525,101808,5608,6943,286,134,27459,0,2121,413,3,82878,132444,853
,峰南里,202,136437,3093,3099,100421,6723,7089,1374,201,11956,0,1603,0,877,79525,115541,93
,維生里,406,497032,13771,14723,219085,22242,11684,548,276,211383,0,3009,0,310,177200,455147,57
,延平里,271,261559,4054,3382,145093,15497,4026,338,93,86424,0,2072,0,580,116132,232597,28
,新民里,249,165300,6278,4818,129104,9013,1641,251,146,10929,37,3060,0,22,101265,137461,24
,惠安里,334,326583,5963,4252,215624,17237,3871,648,150,76755,0,2058,18,7,182277,293232,372
,壽山里,342,238485,3617,654,176705,10555,7660,527,234,36714,22,1092,15,691,138752,200531,385
,哨船頭里,281,229972,5944,2419,177603,10608,2401,225,208,28889,0,1080,0,596,145300,197669,294
,桃源里,175,163217,3688,3103,122800,8390,5923,1484,259,14119,0,3410,26,16,101705,141816,963
,正德里,564,427928,8304,3825,354493,18798,3067,1614,430,30256,47,6684,116,296,283104,356539,641
,厚生里,980,726957,17844,12821,596912,24828,9553,2515,556,53940,534,6708,0,746,479623,609668,254
,明誠里,5559,5802116,67635,174522,4400063,296948,109329,32747,6608,629185,5585,68019,2058,9417,3720358,5121932,11178
,民強里,785,528326,12980,4800,428000,31706,3922,873,395,42226,85,3326,0,14,337465,437792,115
,裕豐里,934,918988,8317,19578,646523,74912,25150,13149,930,111298,1944,15008,0,2181,542099,814564,1316
,華豐里,1317,1294052,12703,30110,958919,75048,30166,4950,1734,161325,3274,12853,126,2845,807163,1141357,1907
,雄峰里,563,377742,6599,6797,307908,31893,1660,656,222,17110,1157,3102,43,596,247333,317114,569
,鼓峰里,511,313595,1548,6767,262716,15874,3025,1271,220,18017,0,3035,282,839,206423,257302,863
,麗興里,282,339967,17851,2802,128654,15194,6369,848,120,164323,1615,1259,0,932,100456,311770,56
,龍水里,7311,11373221,181805,464154,7103624,426069,246152,167069,7534,2605536,13843,109002,3155,45279,6200244,10469577,20740
,裕興里,1027,873565,12886,13923,657450,56041,16408,3629,758,96735,4374,10088,549,723,537689,753613,2018
,其　他,9,6016,0,2,5336,151,5,51,0,338,0,133,0,0,4364,5044,0
,合　計,36827,38659758,634641,1119411,27452737,1834867,775732,310823,32249,5874657,54615,434021,8879,127127,23103841,34312887,59108
左營區,自立里,2,2275,0,0,546,438,623,0,0,659,0,8,0,0,438,2167,0
,崇實里,1305,1276494,11150,32966,1004152,51165,9869,15686,780,124706,629,23529,294,1567,839153,1111498,1542
,合群里,703,571528,3851,5534,445936,76269,2023,3318,365,29788,1650,2389,147,257,375993,501588,931
,自治里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,頂西里,268,197888,5083,1195,152722,9631,11419,524,214,14225,21,2332,0,522,123514,168681,41
,頂北里,141,107560,1669,2770,80045,7157,3070,191,84,12056,0,477,0,42,65577,93092,10
,中北里,139,110068,3316,4361,75733,4487,4614,539,57,15075,0,1776,0,111,61393,95739,5
,中南里,121,87830,692,684,71257,3612,2065,188,55,6902,0,2375,0,0,56794,73367,4
,自助里,132,100174,1458,2987,77971,9786,1201,280,240,5875,0,341,0,34,63252,85454,7
,自勉里,2,2930,1294,1056,169,122,288,0,0,0,0,0,0,0,0,2760,0
,尾西里,298,188814,5206,2172,135673,17603,11953,222,216,12786,121,2101,0,760,106964,160104,26
,尾北里,849,680773,9425,18773,551564,28781,17433,2807,380,44821,415,5443,418,512,450215,578950,1579
,󿾴南里,170,118603,3271,562,83050,6385,6710,0,1034,12133,275,5181,0,1,66330,101883,84
